"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"268815",1,"E-9",15430.4,8266.7,28.0922,19.2937,0.9483,1,6.4748,5.7543,266.9898185494
"268816",2,"E-9",15193.1,8192.4,27.2716,18.9731,0.952,1,6.3077,5.7618,227.440508044295
"268817",3,"E-9",15548.3,7519.5,27.3473,18.9643,0.9555,1,6.413,5.5855,85.8864000448703
"268818",4,"E-9",15754.7,7446.1,21.2993,16.722,0.9572,1,5.5614,5.1345,57.3543708996589
"268819",5,"E-9",15445.7,8154.9,29.807,19.794,0.956,1,6.6411,5.9919,111.744947550387
"268820",6,"E-9",15350,7419.2,32.493,20.7501,0.9483,1,7.1983,5.9352,83.9279261942628
"268821",7,"E-9",15606.1,7472.2,20.3668,16.4049,0.951,1,5.5426,4.942,125.908643861018
"268822",8,"E-9",15521.7,7237.6,25.1446,18.359,0.9375,1,6.52,5.1658,244.654025643198
"268823",9,"E-9",14949.3,7426,36.0266,21.9783,0.9372,1,8.0454,5.897,90.7442640321105
"268824",10,"E-9",15259.5,7111.4,24.3456,17.9616,0.9483,1,6.0155,5.3312,96.2645681589085
"268825",11,"E-9",15150.8,8002.8,26.5735,18.7069,0.9542,1,6.3578,5.3999,78.5659215939642
"268826",12,"E-9",15374.3,7366.4,27.4388,19.2301,0.9324,1,6.7771,5.426,105.85351064508
"268827",13,"E-9",15542.4,8037.6,24.297,18.0203,0.9402,1,6.3386,4.9059,96.2748595689891
"268828",14,"E-9",15009.4,7632,29.6565,19.9165,0.9395,1,7.1161,5.5307,92.9208624959796
"268829",15,"E-9",15549.6,8161.4,31.0903,20.2408,0.9536,1,6.74,6.1473,34.8625913428812
"268830",16,"E-9",15738.2,7448,25.9175,18.5556,0.9459,1,6.4669,5.2349,108.577666800469
"268831",17,"E-9",15426.7,7392.7,28.5604,19.4554,0.9482,1,6.6685,5.6413,167.86272956824
"268832",18,"E-9",15190.7,7217.9,23.2252,17.4753,0.9557,1,5.8447,5.1219,81.5157623404176
"268833",19,"E-9",14945.4,7274.2,31.0219,20.9086,0.8917,1,8.1089,5.2509,92.3027748881351
"268834",20,"E-9",15272,8217,50.0329,25.4957,0.9672,1,8.6681,7.31,155.516272262605
"268835",21,"E-9",15274.6,7113.7,23.2302,17.5614,0.9466,1,6.0811,5.054,84.5523362019757
"268836",22,"E-9",15418.7,7949.4,32.1016,20.4631,0.9634,1,6.8993,6.1395,128.881990523792
"268837",23,"E-9",15095.5,7411.2,49.0356,25.3211,0.9611,1,8.8058,7.2163,68.5748941203258
"268838",24,"E-9",15496.3,7753.1,34.1792,21.3419,0.943,1,7.5431,5.8003,75.1965000621212
"268839",25,"E-9",15536.7,7461.9,31.2819,20.284,0.9554,1,6.8099,6.0604,42.1916758145179
"268840",26,"E-9",14882.8,7936.4,32.9346,20.7802,0.9584,1,6.9202,6.2245,58.2515327216913
"268841",27,"E-9",15064.2,7245.3,22.576,17.3849,0.9387,1,6.0455,4.9419,92.6340973392866
"268842",28,"E-9",15563.4,7741.4,21.7901,17.0147,0.9459,1,5.8426,4.9994,43.1452878812125
"268843",29,"E-9",15116,7878.2,25.6799,18.435,0.9495,1,6.3777,5.3583,345.658887066527
"268844",30,"E-9",15603.1,7173.9,20.5557,16.5234,0.9461,1,5.5297,4.8994,112.278116978941
"268845",31,"E-9",15416.4,8215.9,23.3171,17.5891,0.9471,1,5.9482,5.2202,110.165360178538
"268846",32,"E-9",15269.8,8080.7,27.0209,18.9376,0.9468,1,6.5326,5.3964,94.9502381725338
"268847",33,"E-9",15416.2,7249.2,21.5257,17.0001,0.936,1,6.0734,4.6502,103.873153125737
"268848",34,"E-9",15579.5,7754.5,22.5787,17.4569,0.9311,1,6.216,5.0226,56.7499272377344
"268849",35,"E-9",15355.9,7434.8,34.7814,21.8364,0.9166,1,8.2302,5.6078,250.640526223156
"268850",36,"E-9",15172.9,7942.9,26.2628,18.6565,0.9482,1,6.4742,5.3434,93.8469993232417
"268851",37,"E-9",15630.4,7812.3,19.5053,16.1263,0.9425,1,5.4458,4.7363,109.85713855269
"268852",38,"E-9",15001.8,7759.6,25.433,18.3659,0.9475,1,6.2903,5.444,34.6865289929868
"268853",39,"E-9",15315.4,7664.1,27.2229,18.9762,0.95,1,6.777,5.4451,172.943355267248
"268854",40,"E-9",15740.3,7274.7,21.6803,16.9487,0.9484,1,5.8074,5.0766,268.814090299358
"268855",41,"E-9",15246.3,7489.4,28.8274,19.7008,0.9334,1,7.0771,5.4136,113.816099882959
"268856",42,"E-9",15631.9,7283.3,20.3673,16.4043,0.9511,1,5.4424,4.9856,117.442223123841
"268857",43,"E-9",14951.1,7415.7,24.7762,18.1143,0.9489,1,6.2064,5.4108,108.169140175874
"268858",44,"E-9",15616.6,7341.5,35.3248,21.653,0.9468,1,7.6261,6.1802,31.4880851753469
"268859",45,"E-9",15418.5,8086.7,36.1117,21.8499,0.9505,1,7.4726,6.4006,106.979846916193
"268860",46,"E-9",15568.8,7181.3,20.3307,16.5234,0.9358,1,5.6464,4.8711,125.242956041632
"268861",47,"E-9",15599,8225.1,27.2937,18.9998,0.9501,1,6.6947,5.4653,128.837581429433
"268862",48,"E-9",14956.8,7891.4,37.1492,22.2187,0.9456,1,7.7614,6.1875,76.379024385644
"268863",49,"E-9",14992.5,7769.6,22.036,17.1158,0.9453,1,5.8619,4.9153,100.010110441436
"268864",50,"E-9",15920.2,7597.3,21.5674,16.9022,0.9487,1,5.597,5.0841,81.4677842227269
"268865",51,"E-9",15777.8,8018.1,22.4102,17.4017,0.93,1,6.0774,4.7661,93.8733910228443
"268866",52,"E-9",15647.6,7331,28.5821,19.4313,0.9513,1,6.8432,5.4214,84.8466776678619
"268867",53,"E-9",15057.5,7400,26.6078,18.7333,0.9528,1,6.3942,5.424,108.713921897341
"268868",54,"E-9",15539.8,7773.3,30.1993,20.1184,0.9376,1,7.2378,5.4866,112.419004606266
"268869",55,"E-9",15020.4,7239.9,21.4327,16.8546,0.9481,1,5.6658,5.099,98.5786494936035
"268870",56,"E-9",15216.7,8314.9,25.4091,18.467,0.9363,1,6.5992,5.163,102.012175644094
"268871",57,"E-9",15386.4,8164.8,30.3305,19.9797,0.9548,1,6.7978,5.9776,98.2048545011393
"268872",58,"E-9",15080.9,7864.5,23.6924,17.645,0.9563,1,5.9771,5.2436,57.5466493583546
"268873",59,"E-9",15039,7552.1,28.4692,19.3756,0.953,1,6.7478,5.5136,96.8578893106752
"268874",60,"E-9",15850.5,7626.1,19.3982,16.0051,0.9516,1,5.4007,4.8791,265.860524708887
"268875",61,"E-9",14782.2,7640.9,25.3937,18.3924,0.9433,1,6.3467,5.216,102.743521407507
"268876",62,"E-9",15025.9,7393.9,29.4887,19.7555,0.9495,1,6.9247,5.5995,253.656989696039
"268877",63,"E-9",15786,7888,27.733,19.2296,0.9425,1,6.5317,5.9222,117.419981575064
"268878",64,"E-9",15901,7623.9,21.2757,16.772,0.9504,1,5.644,5.0502,98.8291128970514
"268879",65,"E-9",14961.5,7990,18.5225,15.643,0.9512,1,5.1587,4.743,116.485372749059
"268880",66,"E-9",15551.3,7992.5,22.6062,17.3607,0.9425,1,6.0042,5.0801,98.8098304337596
"268881",67,"E-9",14956.7,7416.3,26.7432,18.9521,0.9356,1,6.5374,5.513,106.828892277428
