"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"341708",1,"F-8",13442.9,8892.5,62.9905,28.6402,0.965,1,10.0116,7.9594,64.1550790879175
"341709",2,"F-8",13591.8,9098.9,94.7916,35.1282,0.9653,1,12.4314,10.0194,136.723072124581
"341710",3,"F-8",13558.5,8842.1,43.9274,23.8871,0.9674,1,8.0141,7.0817,79.5483270485376
"341711",4,"F-8",14263.8,8882.4,65.0021,28.7916,0.9854,1,9.3711,8.9666,87.534038781501
"341712",5,"F-8",14249.8,9242.3,74.7067,31.3166,0.9572,1,11.1245,8.6331,114.109797982232
"341713",6,"F-8",14136.3,9354,66.5247,29.2664,0.976,1,9.915,8.6701,76.6410666348246
"341714",7,"F-8",13404.4,8920.2,91.1009,34.2711,0.9747,1,11.7475,10.0607,102.600713749043
"341715",8,"F-8",13659.1,8536.1,41.6584,23.3269,0.962,1,7.7719,7.1524,157.40256426895
"341716",9,"F-8",13458,9214.5,49.6968,25.4563,0.9637,1,8.6815,7.1691,57.8816678212646
"341717",10,"F-8",13764.9,9142.8,49.2292,25.3174,0.9652,1,8.5377,7.481,100.161199558511
"341718",11,"F-8",14284.2,9064.5,43.1758,23.8262,0.9557,1,8.3094,6.738,99.9939409431205
"341719",12,"F-8",13611.5,9167.8,60.908,28.6374,0.9333,1,10.4145,7.2577,88.146302048174
"341720",13,"F-8",13999.4,8807.8,40.3352,23.1256,0.9478,1,7.9421,6.8975,67.77855230887
"341721",14,"F-8",14040.6,8641.2,66.2767,29.4741,0.9587,1,10.1482,8.4763,147.646167094549
"341722",15,"F-8",13935.9,9341.8,34.3694,21.2554,0.956,1,7.1793,6.2216,132.748367249993
"341723",16,"F-8",14024.9,8551.4,44.3423,24.032,0.9648,1,8.1737,7.0318,59.2256954908958
"341724",17,"F-8",13352.7,9199.7,41.0639,23.5468,0.9307,1,8.6484,6.1278,88.2904345291412
