"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"381603",1,"G-10",17145.2,10656.9,149.6393,48.5732,0.797,0.9596,18.8979,11.1864,83.8767273360211
"381604",2,"G-10",16030,10538.1,31.0446,20.3747,0.9398,1,7.172,5.7085,85.1118313215381
"381605",3,"G-10",16072,10462.2,37.2365,22.1055,0.9576,1,7.7156,6.3115,61.4425500139028
"381606",4,"G-10",16088.9,10562.1,44.0067,23.9639,0.963,1,8.2317,6.9735,140.132298326134
"381607",5,"G-10",16389.4,10684.9,31.9206,20.6116,0.9442,1,7.1561,6.0483,49.8136355339321
"381608",6,"G-10",16027.2,10397.4,31.2236,20.3448,0.9479,1,7.1461,5.8022,41.4267283780362
"381609",7,"G-10",16289,10988,33.2081,20.9538,0.9504,1,7.3669,5.8387,122.673815875872
"381610",8,"G-10",16214.8,10799.6,26.1903,18.6214,0.9491,1,6.3056,5.5285,44.536315442422
"381611",9,"G-10",16375.8,11007.7,27.3829,18.9659,0.9566,1,6.678,5.4088,100.400668508782
"381612",10,"G-10",16213.2,10975.8,29.1453,19.5796,0.9554,1,6.5836,5.7875,98.5214054982389
"381613",11,"G-10",16216.9,10965.7,29.9388,20.0689,0.9341,1,7.3555,5.3417,87.6401885968434
"381614",12,"G-10",16295.5,10849.1,39.35,22.8173,0.9498,1,7.9745,6.3881,125.964312622491
"381615",13,"G-10",16558.2,11040,30.045,20.2336,0.9222,1,7.4481,5.218,86.0309227384568
"381616",14,"G-10",16398.2,11006.6,30.8799,20.5317,0.9205,1,7.6182,5.2499,85.9087583292859
"381617",15,"G-10",16204.2,10742.6,31.648,20.4966,0.9467,1,7.3017,5.6953,132.064868609007
"381618",16,"G-10",16005.8,10587.2,20.9622,16.5838,0.9578,1,5.4732,5.039,112.009793485357
"381619",17,"G-10",16476.1,11047.9,26.9324,18.799,0.9577,1,6.4187,5.5224,83.8225585910382
"381620",18,"G-10",16291.4,10412.4,34.3683,21.2989,0.952,1,7.2465,6.4731,96.4016298513809
"381621",19,"G-10",16581.1,11047.1,32.7304,21.164,0.9183,1,7.8348,5.2827,126.560590919521
"381622",20,"G-10",16038.2,10530.2,20.4409,16.6652,0.9249,1,5.8501,4.7738,64.7735347031151
"381623",21,"G-10",16265.8,10987.8,28.4741,19.5535,0.9359,1,7.1394,5.3251,84.6186389292029
"381624",22,"G-10",16607.6,10801.3,25.2566,18.3706,0.9405,1,6.3312,5.3388,248.705242051691
"381625",23,"G-10",16129.5,10593.8,23.721,17.7664,0.9444,1,6.0636,5.1697,236.31040912103
"381626",24,"G-10",16376.1,10975,23.7374,17.8001,0.9414,1,6.1046,5.1562,113.798216645606
"381627",25,"G-10",16302.2,10949.7,19.4637,16.248,0.9265,1,5.7057,4.5514,112.434783511473
"381628",26,"G-10",16406.9,10981.6,30.4424,20.1374,0.9434,1,7.06,5.5091,89.9695496936646
"381629",27,"G-10",16333.6,10990.4,31.0979,20.3926,0.9397,1,7.1389,5.7725,208.531020620535
"381630",28,"G-10",16474.1,10875.3,29.1821,19.5665,0.9579,1,6.7173,5.6527,237.992468178411
"381631",29,"G-10",16043.4,10444.9,24.2122,18.405,0.8982,1,7.0325,4.8049,72.833557884483
"381632",30,"G-10",16465.5,10895.2,40.7159,23.6371,0.9158,1,8.7003,5.8191,115.067564783886
"381633",31,"G-10",16082.3,10539.9,28.8434,19.738,0.9304,1,7.1464,5.3416,94.9343840144976
"381634",32,"G-10",16366.3,10921.9,25.8782,18.5005,0.9501,1,6.2481,5.6284,114.015121562908
"381635",33,"G-10",16217.9,10871.3,38.966,23.1503,0.9137,1,8.446,5.8838,82.8696052079709
"381636",34,"G-10",16236.7,10686.9,25.9831,18.6965,0.9341,1,6.6566,5.1099,86.5172463292926
"381637",35,"G-10",16360,10919.7,22.0855,17.1188,0.947,1,5.7987,5.0956,22.0018442895517
"381638",36,"G-10",16135.7,10939.8,30.6118,20.1593,0.9466,1,7.0292,5.6847,229.642573322655
"381639",37,"G-10",16805.4,10764.1,27.2577,19.0625,0.9426,1,6.7247,5.3529,232.070511861091
"381640",38,"G-10",16018,10714.8,22.0689,17.1072,0.9476,1,5.7231,5.0546,92.5387822641305
"381641",39,"G-10",16141,10672.9,26.4974,18.8059,0.9415,1,6.4015,5.4095,109.504413341423
"381642",40,"G-10",16395.5,11013.6,23.8963,18.0244,0.9243,1,6.5796,5.123,241.705544630742
"381643",41,"G-10",17059.3,10691.5,29.1668,19.794,0.9355,1,6.8148,5.6074,105.236438732655
"381644",42,"G-10",16380.4,11019.6,26.3124,18.671,0.9485,1,6.4006,5.4808,103.508658531161
"381645",43,"G-10",16745.4,10750.3,29.0497,19.7081,0.9399,1,7.1027,5.2968,41.9601889403463
"381646",44,"G-10",16564.3,11038.3,29.1721,20.2495,0.894,1,7.7861,4.8141,89.2275123596264
"381647",45,"G-10",16156.4,10943.8,39.0723,23.4167,0.8954,1,8.8185,5.4494,85.9029867589064
"381648",46,"G-10",16218.8,10394.6,31.4708,20.5713,0.9345,1,7.4052,5.4922,30.9430822375514
"381649",47,"G-10",16910.4,10815.1,25.7687,18.4301,0.9533,1,6.3786,5.2701,14.4267540481178
"381650",48,"G-10",16365.6,11016.9,27.727,19.6378,0.9035,1,7.2786,4.877,116.977276175557
"381651",49,"G-10",16465.5,10469.3,22.6785,17.3579,0.9459,1,6.1204,4.8488,55.0211253875744
"381652",50,"G-10",16235.3,10621.4,48.5044,25.265,0.9549,1,8.7796,7.2274,82.9575630365074
"381653",51,"G-10",16301.2,10692.7,29.101,19.6703,0.9451,1,7.0643,5.2425,100.794508796746
"381654",52,"G-10",16543.7,11049.1,19.3566,16.2411,0.9222,1,5.8441,4.4551,115.384649278917
"381655",53,"G-10",16299,10906.9,18.8969,15.8042,0.9507,1,5.3065,4.7838,266.918507690434
"381656",54,"G-10",16008.8,10568.8,21.1143,16.8281,0.937,1,5.9454,4.9468,48.3170763283874
"381657",55,"G-10",16078.7,10553.6,32.7215,21.5578,0.8848,0.9844,7.7238,5.9925,61.7389203765069
"381658",56,"G-10",16164.6,10934.9,40.6034,23.2617,0.943,1,8.3858,6.3366,57.5082273444213
"381659",57,"G-10",16509.5,10364.4,19.3068,16.1602,0.929,1,5.653,4.573,47.7798534299973
