"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,13494.1,9942.1,13497.9112222338,9945.3364463667
"2",2,13481.1,9933.2,13485.6195490815,9935.33861546339
"3",3,13471.5,9939,13476.1033756563,9937.04835132082
"4",4,13399,10006.7,13397.0136560808,10011.2885115053
"5",5,13481.2,9943.5,13477.5247547393,9946.89006965621
"6",6,13419.9,9996.1,13417.6271989363,10000.5535800571
"7",7,13484,9927.6,13479.0011750495,9927.70839333178
"8",8,13458.5,9940.7,13461.0517392967,9944.9998402949
"9",9,13487.7,9936.3,13483.8633546937,9939.50626773581
"10",10,13449.8,9943.5,13451.8913924995,9948.04159414888
"11",11,13432.9,9974.7,13430.9444021889,9979.30169938189
"12",12,13473.4,9947,13468.4023437965,9947.15307668513
"13",13,13427.4,9983.1,13425.9868354244,9987.89614072795
"14",14,13506.7,9918.8,13502.9857231284,9922.14725967334
"15",15,13441.1,9965.8,13438.0868251112,9969.79008484741
"16",16,13482.9,10942.6,13477.9009996708,10942.5000214575
"17",17,13301.8,10723,13301.3377226166,10727.978584098
"18",18,13253.7,10579,13254.3544849133,10583.9569798767
"19",19,14081.3,10368.1,14084.3920357782,10372.0292893436
"20",20,13381.4,10579.1,13381.4352807735,10584.0998755252
"21",21,13293.1,10729.8,13292.33565004,10734.7412315407
"22",22,13785,10455.1,13782.6421815901,10459.5091600499
"23",23,13381.8,10596.1,13382.1421348127,10601.0882806427
"24",24,14300.2,10516.5,14297.1462700752,10512.5408670714
"25",25,13290.9,10658.3,13292.5770732575,10663.0103529898
"26",26,13458.9,10494.4,13458.0089579529,10499.3199638282
"27",27,14083.8,10347.7,14083.9796463261,10352.6967716775
"28",28,13453.7,10828.7,13450.8801470081,10832.8289743405
"29",29,13469.7,10909.7,13469.7265778226,10914.6999293614
"30",30,13290.4,10711.4,13290.3088959429,10716.3991699362
"31",31,13455.3,10553.3,13455.8148868025,10558.2734185004
"32",32,13479.6,10762.3,13477.9421280045,10767.0171453705
"33",33,13295.9,10556.6,13294.4273409866,10561.3782083913
"34",34,13621.7,10905,13622.0664813514,10909.9865510545
"35",35,13487.2,10650.8,13488.957638823,10655.4808872843
"36",36,13444,10604.4,13442.4405837638,10609.1506021726
"37",37,13653.6,10853.6,13653.2866398531,10858.5901708807
"38",38,13721.4,10741.8,13722.2556822002,10746.7262366947
"39",39,13525.7,10470.8,13526.6722488372,10475.704562386
"40",40,13523,10788.9,13518.0731086169,10789.7519045128
"41",41,13530.7,10960.8,13526.9236659613,10964.0770873086
"42",42,13606.8,10418.4,13605.8614094723,10423.3111147229
"43",43,13295.8,10572.2,13299.4227292847,10575.646132982
"44",44,13523.9,10712.2,13524.8750514449,10717.1040059828
"45",45,13695.3,10761.2,13693.0205543972,10765.6501828888
"46",46,13534.8,10791.7,13534.1506015839,10796.6576488074
"47",47,13248,10604.2,13250.8661563098,10608.2969681483
"48",48,13624.7,10561.8,13624.2326669586,10566.7781120747
