"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"407016",1,"H-5",9975.1,11213.3,40.8111,23.1873,0.9539,1,8.123,6.4804,97.4855448363598
"407017",2,"H-5",10015.8,11461.2,34.9618,21.7205,0.9312,1,7.9229,5.7819,103.940006274287
"407018",3,"H-5",9306.9,11267.5,28.5053,19.5885,0.9335,1,7.1367,5.0851,89.3023857378427
"407019",4,"H-5",9468.9,11882.3,48.3656,25.8012,0.913,1,9.7602,6.5195,80.6327764982999
"407020",5,"H-5",9680.8,11364.5,37.5469,22.2263,0.9551,1,7.7301,6.2394,113.020354406576
"407021",6,"H-5",9526.2,11482.6,31.8887,21.1139,0.8989,1,7.9717,5.1262,87.2120868271517
"407022",7,"H-5",9813.9,11941.8,37.4547,22.1271,0.9613,1,7.5009,6.6158,121.195858088088
"407023",8,"H-5",9663.1,11014,30.4987,20.1678,0.9423,1,7.1922,5.5018,91.7713993151724
"407024",9,"H-5",9264.3,11511.9,33.6123,21.2286,0.9373,1,7.7638,5.5317,26.3806708517199
"407025",10,"H-5",9374.5,11817.6,32.9887,21.3226,0.9118,1,7.8472,5.4685,117.349514413417
"407026",11,"H-5",10097.2,11608.1,27.3157,19.1463,0.9364,1,6.8469,5.2533,88.4481493609754
"407027",12,"H-5",8947.5,11573.1,34.2522,21.2829,0.9502,1,7.3804,6.204,79.4862917211809
"407028",13,"H-5",9551.1,11692.2,30.804,20.7214,0.9015,1,7.7861,5.0812,91.8424620105314
"407029",14,"H-5",9472,11603.6,29.6234,19.7798,0.9515,1,6.8515,5.8283,343.167391852137
"407030",15,"H-5",9279.5,11048,32.7286,20.8792,0.9434,1,7.5009,5.8031,70.4041264597701
"407031",16,"H-5",9939.1,11795.5,26.3041,18.9045,0.9249,1,7.0706,5.0549,121.551662997738
"407032",17,"H-5",9189.2,12060.9,39.6895,23.1998,0.9267,1,8.3199,6.2899,126.809163695228
"407033",18,"H-5",9241,11421.2,27.8473,19.3974,0.93,1,6.918,5.3531,34.8510662133161
"407034",19,"H-5",9587,11727.1,34.1274,21.2901,0.9461,1,7.388,5.9357,41.2330522186119
"407035",20,"H-5",9689.4,11389.5,27.5638,19.3814,0.9221,1,7.0645,5.1308,84.1474998520265
"407036",21,"H-5",9627.4,11880.9,28.0641,19.4874,0.9287,1,7.041,5.1375,89.9934148211128
"407037",22,"H-5",9448.3,12105.9,31.3157,20.8716,0.9034,1,7.8818,5.2056,93.8561912073449
"407038",23,"H-5",9969.1,11272.6,25.0146,18.5252,0.916,1,6.7734,4.8576,93.2248299542671
"407039",24,"H-5",9003.2,11269.5,27.3682,18.9827,0.9544,1,6.5114,5.5724,337.186672791899
"407040",25,"H-5",9286,12091.8,24.465,18.3762,0.9104,1,6.8242,4.645,350.743148046955
"407041",26,"H-5",9720.4,11217.3,26.4078,18.7587,0.9431,1,6.5866,5.3248,84.608626248438
"407042",27,"H-5",9574.5,11804.6,33.9012,21.5027,0.9214,1,8.1262,5.5639,70.8588763457807
"407043",28,"H-5",8931.4,11640.8,24.3398,17.8889,0.9558,1,6.0953,5.269,52.4556508757677
"407044",29,"H-5",9890.2,12082.5,54.635,27.6179,0.9001,1,10.0292,7.7847,90.466927125428
"407045",30,"H-5",9268.3,11282.6,26.3233,18.8365,0.9323,1,6.843,5.0575,358.903679851342
"407046",31,"H-5",9332.9,12149.6,26.0988,18.8327,0.9247,1,6.9238,4.862,86.626344866605
"407047",32,"H-5",9535.3,12044.7,17.0258,15.1764,0.9289,1,5.3123,4.29,190.069827195883
"407048",33,"H-5",9592.6,11171.6,32.2849,20.8534,0.9329,1,7.5408,5.5732,69.8393813883662
"407049",34,"H-5",9313.8,11845,24.8073,18.4069,0.9201,1,6.7874,4.792,41.6922873908518
"407050",35,"H-5",9677.9,11440.9,35.1749,22.2423,0.8935,1,8.3817,5.3351,21.0023659212586
"407051",36,"H-5",9289.5,11053.9,33.1021,21.3833,0.9097,1,8.0921,5.189,150.828909660054
"407052",37,"H-5",9737.5,11714.6,34.0607,21.3074,0.9428,1,7.565,5.8294,151.260721029561
"407053",38,"H-5",9040.4,11918.8,21.4826,16.8032,0.9561,1,5.7113,4.9653,117.056170794491
"407054",39,"H-5",9624.4,11998.8,34.783,21.5304,0.9429,1,7.7426,5.944,19.5490760091433
"407055",40,"H-5",9045.7,11818.4,20.5904,16.476,0.9532,1,5.5898,4.9177,54.1578557393124
"407056",41,"H-5",9646.2,11908.8,27.2674,19.1027,0.939,1,6.6634,5.5131,259.532154162452
"407057",42,"H-5",9695,11411.7,20.5194,16.5447,0.942,1,5.6416,4.7593,67.3873401738325
"407058",43,"H-5",9235.4,11251.7,48.3949,27.3963,0.8103,1,11.1865,5.7028,89.2072218343222
"407059",44,"H-5",8982.4,11506.2,40.501,23.0943,0.9543,1,7.9819,6.4511,96.7235448024578
"407060",45,"H-5",9144.2,11505.2,23.0906,17.6701,0.9293,1,6.4219,4.8074,171.115276152829
"407061",46,"H-5",9915.9,11188.7,32.6343,21.7422,0.8675,1,8.4982,4.9939,103.024905858341
"407062",47,"H-5",9101.6,11168.5,30.2583,20.7702,0.8814,1,7.9044,5.0179,68.6186929755509
"407063",48,"H-5",9972.7,11529.2,23.2563,18.1025,0.8918,1,6.9173,4.4198,84.1729468917118
"407064",49,"H-5",9556.2,11699.6,26.2918,19.225,0.8939,1,7.3065,4.5436,118.810803650727
"407065",50,"H-5",9387,11612.3,41.4783,23.3348,0.9572,1,8.2161,6.8628,138.724270221892
"407066",51,"H-5",9135.2,11696.7,30.3685,20.2343,0.9321,1,7.2272,5.5192,139.678157799751
"407067",52,"H-5",9042.8,11302.9,27.5543,19.2052,0.9388,1,6.8217,5.3066,104.981115858827
"407068",53,"H-5",9190.9,11240,44,25.4416,0.8542,1,10.3629,5.501,107.249877616984
