"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,12023.6,11441.9,12024.7843550019,11446.757705552
"2",2,12012.2,11433.7,12013.6285505534,11438.4915804612
"3",3,12029.2,11471.4,12026.8891051282,11466.9660666568
"4",4,12045.7,11518.3,12048.0895109392,11522.6920652855
"5",5,12043.5,11525.7,12042.7242745272,11530.6394584714
"6",6,12041.9,11500.1,12039.3367692165,11495.8070001222
"7",7,12027.1,11457.3,12025.7473681183,11462.1135628169
"8",8,12033.9,11524.6,12036.9437161634,11528.5668365124
"9",9,12038.1,11513.2,12038.5517573635,11518.179549707
"10",10,12029,11510.7,12024.9920286853,11513.6893420581
"11",11,12028.3,11520.4,12030.6512751795,11524.8126528336
"12",12,12033.6,11514.3,12028.7328767,11515.445037459
"13",13,12034.7,11489.6,12031.6573351666,11485.6323570333
"14",14,12038.4,11543.7,12043.3904532855,11544.0088300596
"15",15,12025.8,11500.4,12026.2456144628,11505.3801031867
"16",16,12035,11500.8,12032.973888129,11496.2289092454
"17",17,12035.1,11519.3,12039.7144331544,11521.2253588402
"18",18,12024.2,11541.6,12020.3945530975,11538.3567649064
"19",19,12046.5,11533.2,12046.9383960612,11538.1807438093
"20",20,12029.4,11450,12033.1672732788,11453.2874993601
"21",21,12020.7,11517.8,12020.0932572853,11512.8369502039
"22",22,12028.1,11495.9,12028.1468902856,11500.8997801253
"23",23,12049.2,11521.9,12050.6284777241,11526.6916021738
"24",24,12046.8,11436.9,12045.9735452651,11441.8312242467
"25",25,12062.1,11451.8,12060.6844892466,11456.5954488118
"26",26,12077.6,11421.5,12077.1905087766,11426.4832034815
"27",27,12049.7,11474.8,12051.2251159141,11479.5617246296
"28",28,12067.7,11445.7,12062.7850431036,11446.6182585183
"29",29,12056.5,11459.6,12057.5496365195,11464.4885849872
"30",30,12073.9,11443.9,12069.2865704991,11445.8277624959
"31",31,12057.4,11451.3,12055.9922002569,11456.0977181955
"32",32,12062.5,11477,12062.8577109097,11481.9871878755
"33",33,12070.6,11464.7,12068.7339987538,11469.3387540729
"34",34,12250.5,11386,12255.2121807764,11384.3280692806
"35",35,12248.6,11376.2,12248.2728981011,11371.2107110379
"36",36,12278.1,11338.1,12280.1511204681,11333.5400762259
"37",37,12233.2,11358.3,12237.1305760507,11361.3903999594
"38",38,12240.9,11372.5,12243.1974373136,11376.9409212772
"39",39,12491.5,11386.5,12488.2671915091,11382.6856915094
"40",40,12665.8,11476.4,12665.0656728142,11481.3457824036
"41",41,12724.6,11489.4,12722.6901671931,11494.0208807223
"42",42,12764.9,11565.3,12765.4108587187,11570.2738338703
"43",43,12662.8,11513.5,12660.3307625172,11517.8477426618
"44",44,12587.4,11360.1,12591.9984290479,11362.0632753989
"45",45,12411.5,11489.2,12416.4771771011,11488.7228122967
"46",46,12648.7,11448.6,12652.4104514445,11451.9514996759
"47",47,12361.2,11491.5,12358.7503509603,11495.8588094226
"48",48,12768,11530.9,12768.0133303878,11535.89998223
"49",49,12745.8,11578.9,12750.625992618,11580.2075913931
"50",50,12700.3,11515.5,12697.9970946756,11511.0619117779
"51",51,12596.5,11439.8,12591.987143046,11441.9527011202
"52",52,12580.5,11410.8,12578.2208603544,11406.3496604089
"53",53,12360.2,11369.5,12356.2081255486,11372.5108036077
"54",54,12500,11383.3,12504.8373876028,11384.5647850332
"55",55,12447.5,11378,12444.8068449657,11382.2127088626
"56",56,12626.8,11429,12625.926971433,11433.9231921678
"57",57,12574.3,11406.6,12572.1721533467,11402.0753708859
"58",58,12685.5,11506,12682.7748425409,11510.1920778646
"59",59,12528.9,11353.6,12531.1157778023,11358.0822236369
"60",60,12463.6,11381.2,12458.8867384569,11379.5311184506
"61",61,12627.8,11486,12622.8532614729,11485.2721415351
"62",62,12381.8,11522.1,12384.6834795793,11526.1847944276
"63",63,12329.6,11337.8,12329.1170218974,11342.776618546
"64",64,12309.8,11420.9,12306.4421137706,11424.6046727345
"65",65,12767.8,11521.4,12767.2755748434,11526.3724217696
"66",66,12689.5,11522.7,12686.7408915321,11518.5301893973
"67",67,12502.3,11397.7,12507.2978115511,11397.8479178801
"68",68,12655.7,11470.2,12652.9503920793,11474.3760814506
"69",69,12352.4,11458.3,12350.1699326032,11462.7751312166
"70",70,12361.6,11386.9,12356.7362924018,11388.0594603916
"71",71,12653.9,11460.6,12651.7643995555,11465.1209745345
"72",72,12544,11394.6,12542.2679201623,11399.2904050396
"73",73,12479.5,11350.5,12480.7840348407,11355.3323135792
"74",74,12617.9,11452.5,12614.8216184909,11456.4399958483
"75",75,12512.5,11377.9,12508.7679539091,11381.2274362467
"76",76,12607,11432.7,12606.8594523062,11437.6980242442
"77",77,12657.3,11455.8,12656.9756634712,11460.7894694924
"78",78,12484,11384.5,12481.1798471937,11388.6287695684
"79",79,12453,11365.7,12448.983485013,11368.6778528102
"80",80,12321.2,11341.8,12321.3831991345,11346.7966426806
"81",81,12459.6,11386,12456.2090883361,11382.3255315912
"82",82,12713.3,11501.1,12710.4017866225,11497.0256461594
"83",83,12360.5,11537.9,12362.6618773184,11542.4084683053
"84",84,12752.9,11563.3,12752.2681095165,11568.2599107267
"85",85,12642.9,11466.6,12641.4649730314,11471.3896448302
"86",86,12531.7,11389.6,12536.5103161863,11390.9641327605
"87",87,12757.3,11524.7,12762.2999790823,11524.7144629536
