"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,8488.6,13091.2,8492.8826527143,13093.7804816854
"2",2,8051.8,13236.3,8051.60882468559,13241.2963438632
"3",3,8259.3,13394.6,8262.14625785073,13398.7108169805
"4",4,8396,13203,8399.46213478422,13206.6074399144
"5",5,8494.7,12662.8,8497.38693226748,12667.0166805653
"6",6,8240.9,12626.5,8241.66974161332,12631.4403945033
"7",7,8436,13076.9,8437.46478514151,13081.6806280434
"8",8,8556,12754.2,8559.89124061359,12757.3397844651
"9",9,8334.6,12668.5,8339.05209325956,12666.2242878899
"10",10,7959.7,12880.5,7960.41676946138,12885.4483574587
"11",11,8502.4,13511.7,8505.16475478182,13515.86606901
"12",12,7707.1,13312.3,7709.22153894621,13316.8275901426
"13",13,8214.9,12589,8219.39218602358,12591.1955101297
"14",14,7777.1,12892.8,7779.27235358239,12897.3034297944
"15",15,7830.5,13527.4,7834.25701754285,13530.6992149343
"16",16,7841.9,12719.7,7839.30690658085,12723.9750282478
"17",17,7953.5,13409.3,7952.61435556761,13414.220938319
"18",18,8411.2,12879,8410.1407486443,12883.8865106738
"19",19,8622.3,13107.1,8625.19809713532,13111.1744365248
"20",20,8253.4,13681.3,8257.03792908307,13684.730083379
"21",21,8046.4,12876.7,8046.24602011412,12881.6976284571
"22",22,7759.6,13263.5,7754.79966584758,13264.8988538255
"23",23,7970.8,13508.2,7971.70916396338,13513.1166473219
"24",24,8321.6,12917.8,8318.15470060987,12921.423522059
"25",25,7930,13323.2,7934.72144200388,13324.8455957596
"26",26,8085.7,13389.8,8088.53022907923,13393.9218689158
"27",27,8352.8,12929.9,8349.35307770602,12933.5219782853
"28",28,7994.4,13153.5,7994.80788745185,13158.4833350105
"29",29,8654.3,13228.7,8654.24940160648,13233.6997439737
"30",30,8666.1,13021.3,8668.47220858621,13025.701434587
"31",31,8323,13583.5,8323.55795497632,13588.4687711
"32",32,7993.8,12838.1,7989.87959252043,12841.2032894151
"33",33,8132.8,13558.2,8132.55439865655,13563.1939643551
"34",34,7731.7,13384.2,7732.38814754877,13389.152418899
"35",35,8672.4,13253.9,8673.47247590489,13258.7836252347
"36",36,7959.7,12869.9,7960.1364297928,12874.8809164855
"37",37,8402.6,13189.6,8404.31405332047,13194.2970225904
"38",38,8366.5,13091.8,8363.94236354208,13096.0963351533
"39",39,8362.5,13457.8,8361.21361281151,13462.631687904
"40",40,7963.4,12833.6,7961.11505389475,12838.047361161
"41",41,8683.4,13119.2,8688.3731099989,13118.6821419704
"42",42,8628.4,13353.4,8624.10039994728,13355.9521440764
"43",43,7741.3,12782.4,7742.89223683427,12787.1397027189
"44",44,8418.6,12667.7,8420.21810718548,12672.4309332204
"45",45,7804.4,12853.2,7808.49804069195,12856.0646225732
"46",46,7705.5,13297.4,7705.92904532957,13302.3815579998
"47",47,8501.4,12721.2,8502.91047135468,12725.9663902785
"48",48,8110.8,13435.9,8112.12565415753,13440.721062233
"49",49,8156.7,13087.2,8155.81228619817,13092.1205654356
"50",50,8654.9,13200.2,8658.32169749512,13196.5541823617
"51",51,8466.3,12767.8,8466.66241289315,12772.786848393
"52",52,8607.1,13265.2,8608.41585566488,13270.0237458338
"53",53,7815.6,12982.6,7819.23903205755,12986.0289131929
"54",54,8508.3,12924.8,8510.01749847234,12929.4957639418
"55",55,7817.5,13364.1,7812.51856844337,13364.5305109135
"56",56,8325.2,13181.6,8325.02848403832,13186.5970573616
"57",57,7794.8,13201.9,7791.47947535037,13205.6381968984
"58",58,7879.1,12725.9,7877.78171746959,12730.7230831602
"59",59,8406.4,13522.6,8406.18172904688,13527.5952335072
"60",60,7679.2,13146,7678.75776854836,13150.9804047369
"61",61,8605.6,13417.6,8606.24577613978,13422.5581219405
"62",62,8106.3,13412.3,8105.50879052503,13417.2370018804
"63",63,8244.7,13524.4,8242.05657187367,13520.1559114358
"64",64,8208.2,12623.6,8212.30172199824,12626.4593489904
"65",65,8472.5,13481.4,8471.64663215549,13486.3266381359
"66",66,8479.9,12667.7,8482.5453226547,12671.9429079713
"67",67,8017.2,13103.3,8015.43562342083,13107.9783517703
"68",68,8181.9,13540.3,8185.55867519798,13543.707945979
"69",69,8270.1,13606.7,8274.5069379502,13609.0619690733
"70",70,7991.4,13505.3,7995.72126305899,13507.815290356
"71",71,8120.8,13477,8117.97007128138,13481.1220751385
"72",72,7923.3,12771.2,7926.58275718774,12774.9714062691
"73",73,8323.1,13274.4,8322.63742446936,13279.3785564051
"74",74,8243,12903.3,8241.66991687321,12908.1198422045
"75",75,8417.1,13008.3,8419.44253381211,13012.7172995528
"76",76,7905.4,13204.9,7907.96521435017,13209.1918149235
"77",77,8200.9,13005.7,8196.23276509855,13007.4935769776
"78",78,8326.2,12663.9,8323.21938128186,12667.9144628603
"79",79,8452.7,12736.5,8448.12573825964,12738.5189426764
"80",80,8400.3,13107.2,8400.29321292036,13112.1999953936
"81",81,7715.6,13342.6,7715.31508677049,13347.591875845
"82",82,8453.2,12652.9,8451.18696094701,12657.4768628744
"83",83,8518.5,13506.5,8518.71587121596,13511.4953377882
"84",84,8043.9,12579.3,8047.63638061995,12582.6225682631
"85",85,8443.6,12973.1,8442.09845685796,12977.869210437
"86",86,8458.1,13268.2,8462.38505580363,13270.7764892315
"87",87,8615.4,12949.2,8619.54111759929,12952.0019894769
"88",88,8425.6,12687.2,8428.18168580678,12691.4819269488
"89",89,8261.6,13592.9,8264.41034339879,13597.0354528145
"90",90,8557.7,13196.8,8553.42819682872,13199.3984029068
"91",91,8145.2,12907.8,8141.98181869107,12911.6266576882
"92",92,8193.2,13042.6,8196.7815971164,13046.0888625791
"93",93,7961.1,13431.6,7962.86313695301,13436.2788190909
"94",94,7687.2,13168.9,7683.44801478129,13172.2049367496
"95",95,8333.8,12786.6,8332.63611484822,12791.462650651
"96",96,8248.4,13395.3,8253.17735104491,13396.775437899
"97",97,7938.5,13314.7,7934.81113349054,13318.0752427876
"98",98,8181,13417.2,8182.01462766761,13422.0959708635
"99",99,8066.7,13328.1,8064.51778325253,13332.5986586964
"100",100,8330,13581.5,8331.75057187582,13586.1835347877
"101",101,8527.8,13140.6,8525.13514475846,13144.8306673873
"102",102,8041.2,12619.6,8044.83056607372,12623.0378757954
"103",103,8699.4,13026,8699.30786360079,13030.9991510163
"104",104,8016.5,12908.6,8017.53029571702,12913.4926976951
"105",105,8299.2,12633,8297.55150919736,12637.7204319796
"106",106,7931.3,13149.1,7927.7582054588,13152.6292621648
"107",107,8390.4,13122.7,8390.29074581573,13127.6988062098
"108",108,8675.2,13281.4,8671.18651075563,13284.3819295909
