"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"473874",1,"I-9",14573,13876.1,204.3162,57.9307,0.7651,0.9492,22.2508,12.595,92.7229993044995
"473875",2,"I-9",14820.9,13788.7,231.3995,54.4675,0.9802,1,18.3513,16.6549,74.8802421757969
"473876",3,"I-9",15026.6,13215.6,207.5345,51.5737,0.9805,1,17.012,15.9213,88.0313556373645
"473877",4,"I-9",14582,13863.7,552.1353,113.1456,0.542,0.8536,46.2051,17.1689,91.9496210437071
"473878",5,"I-9",14565,13633.8,128.6061,40.7206,0.9746,1,13.8027,12.1751,99.674554973976
"473879",6,"I-9",15389,13072.5,258.429,63.2892,0.8108,0.9973,25.8847,12.5304,108.858685522408
"473880",7,"I-9",14780.9,13041.5,42.083,23.6143,0.9483,1,8.2052,6.8305,101.407356409228
"473881",8,"I-9",15551.1,13420.5,38.4237,22.5899,0.9462,1,8.1357,6.0834,94.380649906448
"473882",9,"I-9",15250.6,14133.1,31.1172,20.2995,0.9489,1,6.7235,6.2274,261.408810540683
"473883",10,"I-9",14566.3,13876.9,44.1797,39.9262,0.3483,0.7347,17.433,4.7722,95.6811623328258
"473884",11,"I-9",15109.6,12959,45.9573,24.5675,0.9568,1,8.4313,7.2216,66.1571019989687
"473885",12,"I-9",14990.2,13488.6,25.913,18.5633,0.945,1,6.4005,5.2466,100.018551730155
"473886",13,"I-9",15002.2,13846.9,33.0155,21.3905,0.9067,1,7.943,5.3708,113.435899906245
"473887",14,"I-9",14783.2,13767.7,49.918,25.59,0.9579,1,8.8095,7.3448,170.571015142683
"473888",15,"I-9",14707.8,13703.6,44.3956,24.1529,0.9563,1,8.3311,7.0485,86.3434580369409
"473889",16,"I-9",15199.2,13176.7,32.3142,20.6961,0.948,1,7.0452,5.8614,242.387476508765
"473890",17,"I-9",15212,13875.2,23.41,17.6072,0.9489,1,6.2515,4.9974,77.3802275221916
"473891",18,"I-9",15076.8,13190.1,225.0124,53.7168,0.9799,1,18.5371,16.2159,98.633641097472
"473892",19,"I-9",15321.2,14093.6,341.4059,67.9421,0.9294,1,25.701,17.7037,93.7194529593767
"473893",20,"I-9",14692.4,13153.8,23.6889,17.6849,0.9518,1,5.9953,5.3232,342.867674468585
"473894",21,"I-9",14861.2,14075.4,23.9875,17.8635,0.9446,1,6.2305,5.1581,110.176925128835
"473895",22,"I-9",14933.3,13703,32.9835,20.9916,0.9406,1,7.6166,5.7589,64.3061985547692
"473896",23,"I-9",14597.7,13627.4,33.9412,22.0393,0.8781,1,8.3408,5.1885,91.1668162908359
"473897",24,"I-9",15594.5,13617.9,26.3445,18.8684,0.9299,1,6.5959,5.5363,41.5124273623201
"473898",25,"I-9",15238.2,13449,45.636,24.6807,0.9415,1,8.6023,6.7662,80.0228693815091
"473899",26,"I-9",15257.2,13037,30.6153,20.068,0.9553,1,6.8314,5.8123,57.5757285863176
"473900",27,"I-9",15332.2,13441,30.1431,20.3353,0.916,1,7.5288,5.102,103.919823711057
"473901",28,"I-9",14944.3,13045.4,37.2674,22.5589,0.9202,1,8.2078,6.1054,105.389290933997
"473902",29,"I-9",15114.7,13835,29.5808,19.8028,0.9479,1,7.0512,5.5341,131.859578279345
"473903",30,"I-9",15580.2,13588.8,20.1777,16.4846,0.9331,1,5.6567,4.747,121.058643130306
"473904",31,"I-9",15344.3,13024.6,44.7937,25.3014,0.8793,1,9.8277,5.6531,100.067307973044
"473905",32,"I-9",15523.2,13519.4,99.4324,36.3891,0.9436,1,13.4795,9.6616,89.6507462590712
"473906",33,"I-9",15144.6,12968.2,20.7536,16.723,0.9326,1,5.8938,4.5115,92.7787612842849
"473907",34,"I-9",15265.9,14026.3,34.0555,21.8842,0.8936,1,8.467,5.465,248.942958537334
"473908",35,"I-9",15341.8,13167.9,40.995,23.2805,0.9505,1,8.1717,6.3465,146.692534112543
"473909",36,"I-9",15121.6,13984.1,33.8322,21.5452,0.9159,1,8.0767,5.4876,87.4549786606495
"473910",37,"I-9",15179.8,13723.7,36.0451,22.0078,0.9352,1,7.9806,5.8636,76.0600574148833
"473911",38,"I-9",15014.3,13631.3,25.3965,18.5924,0.9232,1,6.7869,4.7781,57.4694145599773
"473912",39,"I-9",15174.4,13317.3,27.5047,19.3234,0.9257,1,6.7272,5.53,101.09349464478
"473913",40,"I-9",15116.6,13960.6,34.9469,21.8072,0.9235,1,7.8714,5.9624,116.441529179101
"473914",41,"I-9",14975.7,13244.6,31.8722,20.6251,0.9415,1,7.3801,5.7879,60.9056059984406
"473915",42,"I-9",15096.8,13833.4,28.7349,20.0844,0.8952,1,7.6219,4.7101,89.3553335190421
"473916",43,"I-9",15028,13660.8,32.444,21.0328,0.9216,1,7.6876,5.3706,63.7431390990135
"473917",44,"I-9",15475.7,13571.3,31.5824,20.5523,0.9396,1,7.1347,5.7999,137.170353121358
"473918",45,"I-9",14584.1,13263,32.8513,20.822,0.9522,1,7.2211,5.9237,106.009482268754
