"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"480954",1,"J-1",3889.6,13926,19.0525,16.4018,0.89,1,6.2344,3.9401,168.597478778769
"480955",2,"J-1",3866.6,13920.4,11.632,14.1077,0.7344,1,6.0534,2.5785,20.9131602915526
"480956",3,"J-1",3878,13919.3,13.4563,15.5271,0.7014,0.9664,6.6,2.9184,170.726774952723
"480957",4,"J-1",3874.9,13895.8,13.7699,15.2449,0.7445,1,6.179,3.0194,16.7387710406786
"480958",5,"J-1",3902.3,13915.7,19.9024,20.7928,0.5785,0.9425,9.2777,2.8812,155.815479000126
"480959",6,"J-1",3882.8,13926.2,17.3287,15.5826,0.8968,1,5.762,3.8787,170.786456374917
"480960",7,"J-1",3853.5,13911.5,15.7345,16.8997,0.6923,1,7.3654,2.7679,8.70448275881223
"480961",8,"J-1",3882.1,13918.8,5.9968,12.9642,0.4484,0.803,4.7078,2.1259,352.294459294526
"480962",9,"J-1",3863,13890.8,11.1601,14.4511,0.6715,1,6.4971,2.5112,356.206483589004
"480963",10,"J-1",3856.5,13856.5,11.7323,17.6914,0.4711,0.8699,8.0303,2.1245,160.274432705917
"480964",11,"J-1",3890,13900.8,13.5818,15.5737,0.7037,0.9673,6.6095,2.628,156.902734642869
"480965",12,"J-1",3907.2,13906.5,9.0497,11.8438,0.8107,1,4.6952,2.6061,30.5982825191406
"480966",13,"J-1",3893.7,13912.7,7.2449,10.0652,0.8987,1,3.6251,2.731,176.156289734011
"480967",14,"J-1",3598.5,14878,29.4404,19.7409,0.9493,1,6.8728,5.7898,124.917586785498
"480968",15,"J-1",3429.4,14117.6,39.1565,22.6632,0.958,1,7.8731,6.4117,17.8547327714197
"480969",16,"J-1",4209,14730.7,29.1523,19.5655,0.957,1,6.7635,5.6364,86.9845299823074
"480970",17,"J-1",3883.4,14219.6,50.006,25.5781,0.9605,1,8.8205,7.292,165.852377693973
"480971",18,"J-1",3799.8,14221.2,54.068,26.8841,0.9401,1,9.8717,7.2086,127.577174815822
"480972",19,"J-1",4057.1,14209.3,41.6316,23.3494,0.9596,1,7.9191,6.7643,106.236064244323
"480973",20,"J-1",3541.5,14552.5,59.2705,27.9084,0.9563,1,9.8486,7.9501,131.997851109205
"480974",21,"J-1",4047,14200.2,59.1356,28.1232,0.9396,1,10.33,7.4271,112.333983986853
"480975",22,"J-1",3819.4,14496.2,57.275,27.3038,0.9654,1,9.4505,7.577,53.2452118477521
"480976",23,"J-1",3345.7,13963.4,50.5201,25.7949,0.9541,1,9.1735,7.0599,83.3076986190688
"480977",24,"J-1",3873.6,14260.6,66.5998,29.6679,0.9508,1,10.767,7.9853,137.682465580356
"480978",25,"J-1",3876.9,14211.8,51.2156,25.7448,0.971,1,8.8794,7.4249,31.8060423157677
"480979",26,"J-1",3334.6,13984.2,34.8852,21.3973,0.9575,1,7.4217,6.146,154.859441288193
"480980",27,"J-1",4012.8,14526.6,27.3328,19.1434,0.9373,1,6.6075,5.5471,267.651974261888
"480981",28,"J-1",3896.3,14253.8,56.6489,27.6065,0.9341,1,10.1202,7.1403,22.8249048375289
"480982",29,"J-1",3283.3,14090.5,30.721,20.1262,0.9531,1,6.8176,5.9928,107.141035931207
"480983",30,"J-1",4158.3,14557.2,44.7052,24.4343,0.941,1,8.8727,6.5594,133.164086153764
"480984",31,"J-1",4124.2,14564.7,53.4619,26.3915,0.9646,1,9.0804,7.4381,111.927227898451
"480985",32,"J-1",3432.5,14148.6,35.0761,21.5784,0.9466,1,7.3622,6.3349,163.475323270037
"480986",33,"J-1",3263.1,14169.1,63.9272,29.0507,0.9519,1,10.5171,7.8408,143.830882730213
"480987",34,"J-1",3791.2,14357.3,38.1832,22.4805,0.9494,1,8.0791,6.1964,26.0152573057698
"480988",35,"J-1",3901.6,14287.9,57.7315,27.7803,0.94,1,10.1301,7.2799,16.1387292930631
"480989",36,"J-1",3902.8,14166.6,40.1698,23.0992,0.9461,1,8.374,6.2839,151.05272918215
"480990",37,"J-1",3997.2,14185.4,35.8823,21.8348,0.9458,1,7.6563,6.2693,129.81026760834
"480991",38,"J-1",4064.7,14193.3,52.7229,26.327,0.9559,1,9.3678,7.1841,136.983563787647
"480992",39,"J-1",4046.3,14816.6,23.5328,17.6486,0.9494,1,6.0637,5.2003,111.942534787972
"480993",40,"J-1",3544.4,14108.7,38.6599,22.9386,0.9233,1,8.3672,5.9387,359.803738259108
"480994",41,"J-1",3829.9,14706.6,28.271,19.3131,0.9525,1,6.469,5.5232,92.8570406853202
"480995",42,"J-1",3805.1,14283.2,51.8885,25.8626,0.9749,1,8.6102,7.7256,100.645105562995
"480996",43,"J-1",3737.1,14195.4,43.8776,23.9948,0.9577,1,8.2409,6.755,167.9591017989
"480997",44,"J-1",3777.5,14839.7,35.8328,23.0557,0.8471,0.9964,9.0339,5.4342,107.307429035428
"480998",45,"J-1",3317,14614.6,32.6285,22.1257,0.8376,1,8.9196,4.8983,105.448542853913
"480999",46,"J-1",3868.4,14248.6,47.5962,24.8221,0.9707,1,8.2278,7.6201,60.4792363589446
"481000",47,"J-1",4059.3,14145.5,56.9127,27.5959,0.9391,1,10.0224,7.4562,146.099775565831
"481001",48,"J-1",3912.6,14233.5,60.8185,28.0247,0.9731,1,9.4939,8.0273,129.604083985583
"481002",49,"J-1",3914.6,14182.9,62.8824,29.192,0.9273,1,10.8667,7.6154,144.293883945069
"481003",50,"J-1",3988.1,14930.7,26.0777,18.5493,0.9524,1,6.505,5.3834,237.946569592055
"481004",51,"J-1",3837.2,14336,39.8849,23.1413,0.9359,1,8.3214,6.2156,124.035015779147
"481005",52,"J-1",4155.4,14571.8,62.3621,29.6768,0.8898,1,11.3767,6.9165,119.615433574847
"481006",53,"J-1",3210,14419.7,46.4977,25.4759,0.9003,1,9.7437,6.2204,120.916552999925
"481007",54,"J-1",3569.3,14114.6,41.1693,23.7075,0.9205,1,8.8689,6.1222,201.806335368302
"481008",55,"J-1",3443.9,14111.9,31.3652,20.455,0.942,1,7.1384,5.8583,1.59846340343864
"481009",56,"J-1",3810.7,14261.1,48.3095,25.1274,0.9615,1,8.5992,7.1511,73.1950723696443
"481010",57,"J-1",4105.8,14375.5,40.9074,24.2114,0.8769,1,9.2988,5.7734,116.11302910726
"481011",58,"J-1",4006.3,14343.9,43.9865,24.4693,0.9232,1,9.0892,6.2764,139.86176323109
"481012",59,"J-1",3837.3,14350.9,38.7658,22.7591,0.9405,1,8.0217,6.3895,140.076143162138
"481013",60,"J-1",3485.4,14558.1,56.2914,27.0715,0.9652,1,9.2714,7.6692,115.317880190619
"481014",61,"J-1",4113,14560.2,53.4297,26.8003,0.9348,1,9.9737,7.0088,130.869608480945
"481015",62,"J-1",4019.4,14157.2,59.5085,28.0718,0.949,1,9.7957,7.5681,16.8038976967086
"481016",63,"J-1",3306.3,14206.7,37.2022,22.0401,0.9624,1,7.447,6.5556,45.1236356894119
"481017",64,"J-1",3678.8,14911.1,34.9201,21.5676,0.9434,1,7.805,5.8831,166.486841235426
"481018",65,"J-1",3486.9,14449.1,57.5479,28.6154,0.8832,1,10.902,6.8571,80.9930518191801
"481019",66,"J-1",4042.3,14401.5,49.6255,25.838,0.9341,1,9.4156,6.894,132.568583140963
"481020",67,"J-1",3397.4,14149.2,42.6726,24.5234,0.8917,1,9.5139,5.8074,32.7678264795621
"481021",68,"J-1",3603.9,14803.9,27.0425,18.9955,0.9418,1,6.3601,5.7603,31.2642772514284
"481022",69,"J-1",3251.7,14217.1,59.451,28.1651,0.9418,1,10.4121,7.5692,155.740654711899
"481023",70,"J-1",3530.6,14135.6,41.0611,23.5202,0.9327,1,8.5497,6.2622,178.866995966459
"481024",71,"J-1",3271.8,14500,51.8514,26.0207,0.9624,1,8.7202,7.9534,65.8332265884903
"481025",72,"J-1",3437.5,14070.4,34.9885,21.5365,0.9479,1,7.7638,6.0823,146.426375094226
"481026",73,"J-1",3477.7,14811.7,27.8379,19.1784,0.9511,1,6.4248,5.5565,49.0473601616991
"481027",74,"J-1",4152.1,14704.3,33.6413,21.1065,0.949,1,7.4193,5.948,92.5789778853709
"481028",75,"J-1",3750.4,14852.4,23.0258,17.477,0.9473,1,5.944,5.0883,174.463294563329
"481029",76,"J-1",4039.8,14351.6,40.1593,22.9962,0.9543,1,8.0603,6.4412,131.040722957107
"481030",77,"J-1",3660.9,14233.4,63.1125,29.4713,0.9131,1,11.2579,7.1978,136.583451598011
"481031",78,"J-1",3389,14179.6,35.1131,21.6837,0.9384,1,7.8634,6.0698,148.21276813395
"481032",79,"J-1",3966.6,14015.6,28.5443,19.5939,0.9343,1,7.0499,5.3613,130.502722655883
"481033",80,"J-1",3416.3,14124.9,51.4499,25.9992,0.9565,1,9.1779,7.2151,154.294824919915
"481034",81,"J-1",3911.9,14402.7,71.2559,31.1733,0.9214,1,11.7526,7.9503,140.14426920252
"481035",82,"J-1",4209.8,14609.1,61.0138,28.3361,0.9549,1,9.9715,7.7429,136.669620287987
"481036",83,"J-1",4241.2,14459.8,37.3537,22.8444,0.8995,1,8.7031,5.4545,85.3973908933074
"481037",84,"J-1",3979.5,14328.3,31.7615,20.7456,0.9274,1,7.6959,5.5677,188.783005963296
"481038",85,"J-1",3956.4,14220.6,64.9213,29.3983,0.944,1,10.6642,7.8693,137.287623065058
"481039",86,"J-1",3914.7,14296.4,49.9002,25.9412,0.9318,1,9.7351,6.8216,151.142273968489
"481040",87,"J-1",3443.8,14095.6,37.6186,22.746,0.9137,1,8.5858,5.6441,17.2352825207108
"481041",88,"J-1",3974.1,14252.1,32.9547,20.991,0.9399,1,7.4197,5.993,158.222994577145
"481042",89,"J-1",4021.2,14491.6,53.1509,26.5348,0.9486,1,9.5775,7.2614,147.346854748536
"481043",90,"J-1",3891.2,14836.7,34.4339,21.5508,0.9317,1,7.8257,5.7365,153.401934689069
"481044",91,"J-1",3995.1,14356.9,46.1156,25.1625,0.9153,1,9.586,6.493,128.854515294132
"481045",92,"J-1",3909.3,14268.1,54.6599,26.8629,0.9519,1,9.5075,7.634,161.003343872442
"481046",93,"J-1",3165.6,14580.4,34.5743,21.6066,0.9307,1,7.7976,5.605,26.8598558355858
"481047",94,"J-1",3718.3,14524.7,64.3482,29.3596,0.9381,1,10.8135,7.7723,133.850947004776
"481048",95,"J-1",4007.2,14495.4,62.0192,29.2427,0.9114,1,11.0034,6.9712,116.817684770445
"481049",96,"J-1",3837.1,14266.5,54.9262,27.2344,0.9306,1,9.893,7.2279,115.144033553288
"481050",97,"J-1",3794.8,14475.7,56.0617,27.7344,0.9159,1,10.6105,6.9174,157.907697610545
"481051",98,"J-1",3951.4,14197.7,57.4491,27.5226,0.953,1,9.8714,7.5707,139.92867639415
"481052",99,"J-1",3455.2,14219,47.7557,25.373,0.9322,1,9.2297,6.621,165.073812783682
"481053",100,"J-1",3548.1,14523,38.7524,23.3155,0.8958,1,8.7722,6.1377,143.356790162894
"481054",101,"J-1",3985.4,14278.3,53.066,26.3599,0.9597,1,9.1804,7.5201,128.858599624507
"481055",102,"J-1",4269.2,14498.9,29.6429,19.7654,0.9535,1,6.9226,5.7326,117.549019778365
"481056",103,"J-1",3299.6,14372.7,49.7161,25.6362,0.9506,1,9.3158,6.9305,160.833773497499
"481057",104,"J-1",3585,14522.9,35.1921,21.5025,0.9565,1,7.3328,6.1538,159.278688164195
"481058",105,"J-1",4193.9,14258.5,27.6459,19.8227,0.8841,1,7.3231,5.3303,235.002204350839
"481059",106,"J-1",3928.4,14215.1,52.1644,26.2409,0.952,1,9.3048,6.9264,6.96385107903723
"481060",107,"J-1",3375.5,13970.7,56.1283,27.7651,0.9149,1,10.4868,7.0083,117.389748923825
"481061",108,"J-1",4031.6,14207.8,56.6235,27.2775,0.9563,1,9.6253,7.9086,122.712729529809
"481062",109,"J-1",3932.1,14488.5,47.6248,25.4212,0.9261,1,9.2298,6.7052,133.423328620811
"481063",110,"J-1",3510.6,14294.8,44.8196,24.7386,0.9203,1,9.1994,6.2894,165.248374004396
"481064",111,"J-1",3949.2,14622.8,32.3703,20.7669,0.9432,1,7.175,5.9601,101.941760290464
"481065",112,"J-1",3495.7,14737.6,36.1839,22.1345,0.9281,1,7.8108,6.0197,122.528061383387
"481066",113,"J-1",3905,14920,27.1678,18.9926,0.9464,1,6.7013,5.4492,321.491148412261
"481067",114,"J-1",3859,14426.3,55.0714,27.0374,0.9467,1,9.6912,7.2534,150.389983199289
"481068",115,"J-1",3460.9,14087.6,41.4717,24.2426,0.8868,1,9.2891,5.7566,17.1305362002864
"481069",116,"J-1",3337.7,14334.9,64.5507,29.1288,0.956,1,10.4493,8.0981,120.338418821657
"481070",117,"J-1",3551.5,14333.1,38.5612,22.9636,0.9189,1,8.6099,5.9391,162.295073972604
"481071",118,"J-1",4110.3,14543.3,63.2488,29.402,0.9194,1,11.018,7.4047,145.348562608285
"481072",119,"J-1",3576.5,14169.8,34.106,21.4968,0.9275,1,7.8388,5.5494,168.14592088625
"481073",120,"J-1",3898,14500,37.0269,22.2062,0.9436,1,7.8631,6.2535,135.493832407628
"481074",121,"J-1",3720.1,14176.9,45.7242,24.6486,0.9457,1,8.8463,6.6519,162.262725612125
"481075",122,"J-1",4049.5,14125,37.4764,22.3357,0.944,1,7.8798,6.1209,129.113365387898
"481076",123,"J-1",3803.7,14383.1,35.3341,22.2176,0.8995,1,8.6765,5.4505,113.378243060534
"481077",124,"J-1",3953.5,14234.9,44.794,24.3183,0.9518,1,8.5986,6.8309,116.769289349425
"481078",125,"J-1",3322.9,14216.8,43.805,24.3048,0.9319,1,8.9158,6.4421,135.776245470406
"481079",126,"J-1",4272.4,14666.2,62.6019,29.1913,0.9232,1,10.6069,7.7665,125.671055758095
"481080",127,"J-1",3972.7,14365.9,40.4347,23.4061,0.9275,1,8.811,5.9898,102.677144587714
"481081",128,"J-1",4017.3,14701.9,57.4168,28.1552,0.9102,1,10.4982,6.8957,99.5448721837988
"481082",129,"J-1",3297,14352.9,56.4215,27.5977,0.9309,1,10.3121,7.2157,141.192813252901
"481083",130,"J-1",3581,14765.1,27.9671,19.215,0.9519,1,6.5176,5.6524,60.257989091396
"481084",131,"J-1",3468.3,14666.6,48.0615,25.3476,0.94,1,9.3309,6.7991,148.156834201587
"481085",132,"J-1",3208.8,14610.8,32.9686,21.6545,0.8835,1,8.2977,5.221,94.2995692948685
"481086",133,"J-1",3576,14848.7,27.7925,19.2225,0.9452,1,6.6982,5.363,122.395736419494
"481087",134,"J-1",3665.1,14355,52.5297,27.2855,0.8866,1,10.7047,6.4299,154.16067247216
"481088",135,"J-1",3245.8,14111.8,38.8548,22.8666,0.9338,1,8.126,6.2413,36.0211297894217
"481089",136,"J-1",4038.4,14186.1,47.4597,25.4849,0.9183,1,9.4204,6.4243,29.1932495197755
"481090",137,"J-1",3388.3,13996.2,39.3185,23.4232,0.9006,1,8.7999,5.9266,186.559815106335
"481091",138,"J-1",4058.8,14383,42.8096,23.9675,0.9365,1,8.5694,6.6006,143.092401909949
"481092",139,"J-1",3913,14210.1,50.1261,26.1992,0.9177,1,9.5266,6.9262,41.8829045371797
"481093",140,"J-1",3205.8,14287.6,49.6856,26.3316,0.9005,1,10.1819,6.3662,150.284839021797
"481094",141,"J-1",3823.1,14756.2,43.5414,23.857,0.9613,1,8.0558,7.2553,82.8661360290637
"481095",142,"J-1",4040.2,14487.2,37.6344,22.3447,0.9472,1,8.0396,6.1077,146.228722708273
"481096",143,"J-1",4036.5,14171.5,37.1861,22.3663,0.9341,1,8.2129,5.8899,98.9554007399811
"481097",144,"J-1",3311.4,14650,20.5131,16.7031,0.9239,1,6.088,4.5987,119.351473411347
"481098",145,"J-1",3993.1,14399.3,44.1731,24.8514,0.8988,1,9.4755,5.8975,149.310840168676
"481099",146,"J-1",3665.5,14206.2,44.1526,24.0476,0.9594,1,8.5306,6.7242,346.870927772637
"481100",147,"J-1",3575.7,14370.9,51.4354,26.1033,0.9486,1,9.4533,7.156,151.226572395844
"481101",148,"J-1",3565.4,14219.9,45.7599,24.5715,0.9524,1,8.5317,6.9142,186.955549309292
