"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,5045.7,13909.5,5046.19971743687,13914.4749655761
"2",2,5527.8,14559.5,5524.84358880581,14563.5323235052
"3",3,5250.4,14627.1,5249.60829681458,14632.0369227325
"4",4,5485,14723.8,5485.34005559858,14728.7884228159
"5",5,4532.2,14447.7,4535.81269432065,14451.1566515221
"6",6,5139.5,14329.2,5143.87277964154,14331.6246233123
"7",7,4828.2,14778.8,4826.04455268692,14783.3115459524
"8",8,4997.1,14840.8,4995.87956192575,14845.6487659159
"9",9,4954.6,14511.5,4953.74697615128,14516.4266977088
"10",10,5554.1,14606,5551.57939225823,14610.3181635694
"11",11,5437.1,14710,5438.57398994759,14714.7777979901
"12",12,5380.4,14659.4,5384.01454160403,14662.8547198139
"13",13,5728.4,14745.8,5726.65361746045,14750.4850985076
"14",14,5786.8,14598,5787.93656959937,14602.8691076745
"15",15,5663.1,14476.5,5666.58610840544,14480.0842779169
"16",16,5098.9,13884.2,5102.19909088748,13887.9571264706
"17",17,4903.7,14811,4899.57359309623,14813.8236086954
"18",18,5367.4,15135.4,5370.17632884414,15139.5583648408
"19",19,5233,15148.4,5237.85324525673,15149.602501758
"20",20,4713.4,14745.9,4709.45390815589,14748.9705633291
"21",21,4725.8,14723.1,4722.48558840475,14726.8436180063
"22",22,4970.8,14904.1,4967.60303134064,14907.9443974029
"23",23,5785.2,14526.9,5782.65468910031,14531.2036487338
"24",24,5759.3,14572.6,5758.10026666937,14567.7460696405
"25",25,4938.2,13930.2,4935.68236689483,13934.5198985576
"26",26,5484.4,14453.7,5483.87124607523,14458.6719633232
"27",27,5020.5,14875.7,5017.83191738791,14871.4713672215
"28",28,5500.3,14350.2,5501.16222170153,14355.1250963176
"29",29,5544.3,14052.5,5545.99944288102,14057.2023285608
"30",30,5647.6,14497.1,5644.56419326116,14501.0728928307
"31",31,5751.9,14742.8,5750.93353968412,14747.7057063159
"32",32,5033.2,14087.7,5037.12908014182,14090.7923016087
"33",33,5015.5,14047.1,5010.52865435882,14046.5654698176
"34",34,4859.9,15063.1,4856.03739361385,15066.2749443941
"35",35,4873.7,14742.7,4874.29333348854,14747.6646707213
"36",36,4922.4,14858.3,4926.70318823365,14860.8460893593
"37",37,5367.4,14275.2,5367.08158279181,14280.1898507474
"38",38,5112.6,15106.4,5109.00317083245,15109.8731570566
"39",39,5082.1,14532.8,5086.98397842094,14533.8708663707
"40",40,4858.4,15055.6,4853.62484127404,15057.0825178387
"41",41,5004,15142.5,5004.96074778672,15147.4068282719
"42",42,4884.9,14919.8,4889.86054563164,14919.1731132188
"43",43,5232.2,14272.2,5229.57712582155,14276.4568217069
"44",44,5093.5,14226.9,5095.68017621507,14231.3996479497
"45",45,5359.1,14427.1,5357.59111395831,14431.8668923748
"46",46,5774.9,14521.3,5770.18762290038,14522.9713772976
"47",47,5011.5,14245.3,5012.13622836647,14250.2593561544
"48",48,4711.3,14476.3,4712.89623663152,14481.0383571643
"49",49,5429.2,14194.9,5426.9372708557,14199.3587057337
"50",50,5592.2,14336.5,5591.73908064197,14341.4787100082
"51",51,5452,14944,5449.73146509282,14948.4557546359
"52",52,4808.1,14670.5,4806.47091741609,14665.7728348945
"53",53,5545,14645.5,5545.26971960139,14650.4927198336
"54",54,5436.3,15095.8,5432.46860077755,15099.0125348244
"55",55,5656.9,14466.8,5656.05375916875,14471.7278673334
"56",56,5803.5,14435.4,5801.78118257736,14430.7047186807
"57",57,4823,14763.5,4823.43408645748,14768.481121254
"58",58,4866,15029.9,4870.03860040625,15032.8478308565
"59",59,5346.3,14102.9,5349.78114026081,14106.4891032981
"60",60,5492.1,14944.9,5490.72966285837,14940.0914476068
"61",61,5428.9,15068.9,5427.08425286751,15073.5586545644
"62",62,4755.5,14707,4753.70276204443,14711.6658263717
"63",63,5531.2,14095.5,5533.94866797551,14099.676700176
"64",64,4790.3,14318.9,4793.92134278556,14322.3475899451
"65",65,5743.4,14746.1,5743.92128752538,14751.0727516845
"66",66,5425.9,14227,5426.35337204906,14231.9794029547
"67",67,5711.1,14560.9,5706.89215173636,14563.6007430441
"68",68,5024.2,14030.7,5023.38926749373,14035.6338334795
"69",69,4637.9,14724.3,4637.98101622557,14729.299343594
"70",70,5064.8,15018.1,5067.93931639535,15021.9916182456
"71",71,4865,14187.1,4868.58506105488,14190.5853030331
"72",72,5362.7,14298.8,5367.37358186668,14300.5769728573
"73",73,5485.8,14196.8,5486.53011311269,14201.7464062553
"74",74,5380.7,14468.5,5379.09450482477,14473.2352281088
"75",75,5007.6,14168.2,5011.68538898407,14171.0826371344
"76",76,5289.7,14947,5293.01350852973,14950.744417341
"77",77,4994.8,13983.9,4994.31327637684,13988.8762536224
"78",78,4886.4,14387.5,4884.88201245594,14392.2640018699
"79",79,5164.7,14378.2,5167.16268420982,14382.5514579721
"80",80,4880.8,14912.2,4884.52102201302,14915.5397597486
"81",81,4787.4,15060.3,4785.45848525083,15064.9076588935
"82",82,5425,14943.3,5420.16662413474,14944.5800303688
"83",83,5382.5,15105.3,5384.46473615539,15109.8978051111
"84",84,4970.4,14648.8,4974.89335064705,14650.9931256149
"85",85,4880.1,14890.3,4882.21371397718,14894.831248528
"86",86,4990.3,14390.8,4988.94269594699,14395.6122474695
"87",87,5540.5,14022,5540.16801995678,14026.9889667518
"88",88,5712.1,14436.5,5713.97133905439,14441.1366032981
"89",89,4827.6,15051.7,4828.54426466713,15056.6100269081
"90",90,5449.9,14226.9,5445.26729271508,14228.7809633734
"91",91,4703.3,14882.8,4699.0894834856,14885.4965812953
"92",92,4821.5,15036.1,4819.93428674898,15040.8485305112
"93",93,5229.6,15059.1,5228.72418768693,15064.0226977149
"94",94,5358.3,14250.4,5358.01728352128,14255.3920007405
"95",95,5438.7,14525.3,5439.95014171143,14530.1411925908
"96",96,5547.5,14582.4,5551.04978972333,14585.9212203737
"97",97,5797.1,14516.8,5798.6738972459,14521.5458242129
"98",98,5232,15085.6,5232.66085725881,15090.5561343488
"99",99,5551.6,14475.9,5555.14381868255,14472.37277033
"100",100,4912.3,14867.9,4916.57730727559,14870.4893324372
"101",101,5408,14097,5410.72021530882,14101.1952864829
"102",102,5519.8,14203.1,5516.87083241613,14199.0478428874
"103",103,5393,15023.7,5394.57038939861,15028.4469861109
"104",104,4902.3,15055.6,4899.2455362489,15059.5585668105
"105",105,5757.6,14429.1,5759.26942483717,14433.8130691394
"106",106,5051.3,14040.7,5055.56399288931,14038.0888001532
"107",107,5703.1,14548.5,5701.1464403613,14543.8974349827
"108",108,5217.8,15134.4,5214.87105006057,15138.4523144316
"109",109,5728.2,14638.2,5731.73864899373,14641.7324160711
"110",110,4850.5,14843.3,4849.74734292638,14848.2430261308
"111",111,5395.6,14103.7,5398.88419590881,14107.470153476
"112",112,5233.4,14989.4,5238.06714849893,14991.1938017976
"113",113,4984.4,14848.4,4983.07465177021,14853.221146344
"114",114,5730.7,14678.1,5727.70175765025,14674.0986823655
"115",115,4742.4,14805.4,4740.34664193573,14809.9589166103
"116",116,4879.8,14187.5,4879.38708245678,14192.4829207401
"117",117,4922.6,14343.6,4922.59289806962,14348.5999949563
