"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"557971",1,"K-6",11179.7,16730.7,41.7049,23.5685,0.9435,1,8.1102,6.995,147.444101948598
"557972",2,"K-6",11017.5,16725.9,49.5046,25.2253,0.9776,1,8.3714,7.6829,40.5981038622739
"557973",3,"K-6",11120.7,16612.3,32.5124,20.739,0.9499,1,7.1392,6.02,228.842724076233
"557974",4,"K-6",11240,16429.7,70.4858,30.2557,0.9676,1,10.4637,8.8208,315.326144091259
"557975",5,"K-6",11209,16620.2,63.775,28.8559,0.9625,1,9.9945,8.1428,358.69881740526
"557976",6,"K-6",11337.5,16588.3,29.2884,19.7323,0.9453,1,6.9088,5.4365,76.0250073899262
"557977",7,"K-6",11196.7,16465.2,53.7499,26.542,0.9588,1,9.0081,8.0983,70.5553106718527
"557978",8,"K-6",11202.3,16447.9,50.3878,25.8952,0.9443,1,9.1464,7.3962,78.9676833568969
"557979",9,"K-6",11046.1,16934.4,49.0696,25.3621,0.9586,1,8.7416,6.9578,92.4553213445838
"557980",10,"K-6",10985.6,16538.2,49.4648,25.9876,0.9204,1,9.6641,6.6369,92.1152147100587
"557981",11,"K-6",11303.8,16462.9,66.5454,29.5122,0.9601,1,10.3047,8.1082,95.6802650614712
"557982",12,"K-6",11308.7,16534.4,30.3426,20.2377,0.931,1,7.4512,5.3861,87.9971020264971
"557983",13,"K-6",11194.5,16585.7,35.8919,21.7624,0.9523,1,7.6707,6.1529,58.7229358865231
"557984",14,"K-6",10909.1,16884.3,24.9134,18.2683,0.9381,1,6.2357,5.2014,76.9990007542415
"557985",15,"K-6",11074.9,16696.2,47.2419,25.214,0.9338,1,9.2234,6.4446,116.415453097921
"557986",16,"K-6",10640.5,16889.1,55.2195,26.7848,0.9672,1,9.08,7.8595,99.9800572100049
"557987",17,"K-6",11150.5,16609.3,54.1946,26.6405,0.9596,1,9.0267,8.065,180.775184804677
"557988",18,"K-6",11308.7,16315.3,53.9343,27.3321,0.9072,1,9.8425,7.3765,86.0463094464039
"557989",19,"K-6",10924.8,16623.1,27.6378,19.0876,0.9533,1,6.5004,5.5408,83.4380128893914
"557990",20,"K-6",11065.2,16620.3,29.5186,19.8847,0.9381,1,7.2633,5.4212,64.6849661635648
"557991",21,"K-6",10803,16369.5,46.4639,24.7729,0.9514,1,8.7446,6.8443,60.6231475523307
"557992",22,"K-6",11313.3,16212.1,45.3073,24.6739,0.9352,1,8.9084,6.7711,120.366045386118
"557993",23,"K-6",11059.5,16826.2,67.4835,29.566,0.9701,1,9.9943,8.7414,121.456268746502
"557994",24,"K-6",11123.3,16415.9,108.1282,37.1672,0.9836,1,12.219,11.5981,95.9580931264519
"557995",25,"K-6",10907.8,16605.6,30.4472,20.0757,0.9493,1,7.0386,5.6841,232.529271560708
"557996",26,"K-6",11298,16408,95.0502,36.2198,0.9105,0.9948,13.3515,9.2483,123.971995120704
"557997",27,"K-6",11334.1,16427.1,36.768,22.2062,0.937,1,7.6788,6.6632,113.519160037165
"557998",28,"K-6",11383.6,16437.8,94.848,35.1266,0.966,1,12.0176,10.3,122.71833910973
"557999",29,"K-6",10958.3,16764.7,64.7865,29.0953,0.9617,1,10.0938,8.2925,132.879521527664
"558000",30,"K-6",11148.2,16087,24.4018,18.1356,0.9323,1,6.3443,5.277,148.220297175383
"558001",31,"K-6",11194.5,16775.2,52.3169,26.6131,0.9282,1,9.9616,6.798,151.966621560899
"558002",32,"K-6",11382.8,16487.1,51.5904,26.2635,0.9399,1,9.5579,7.1229,146.662132226472
"558003",33,"K-6",10683.4,16678.9,52.7817,26.406,0.9512,1,9.3772,7.5417,66.9948849945613
"558004",34,"K-6",10964.8,16749.3,26.5733,18.8018,0.9446,1,6.5223,5.4899,103.676776033547
"558005",35,"K-6",10582.2,16607.1,26.1494,19.0747,0.9031,1,7.0987,4.9772,123.701258278535
"558006",36,"K-6",10530.9,16818.3,44.6393,24.5811,0.9284,1,8.4678,7.1513,51.8590000251034
"558007",37,"K-6",11095.1,16744.7,34.5189,21.4209,0.9453,1,7.4987,5.8722,80.6312224821517
"558008",38,"K-6",11397.5,16294.1,34.7388,21.4322,0.9504,1,7.316,6.5232,114.760094235198
"558009",39,"K-6",10825.9,16657,23.371,17.8244,0.9244,1,6.2538,4.9189,12.9942277368588
"558010",40,"K-6",11374.2,16257.9,29.6025,19.7582,0.9529,1,6.8096,5.8791,76.3592957836545
"558011",41,"K-6",11383.1,16475.7,40.5436,23.3222,0.9367,1,8.2772,6.4154,121.898194913271
"558012",42,"K-6",10922.4,16544.5,42.0273,23.4863,0.9574,1,7.9565,7.144,87.5910770608697
"558013",43,"K-6",11208.7,16786.8,35.9315,21.7095,0.958,1,7.322,6.3738,91.5457483715161
"558014",44,"K-6",11275.9,16522,40.7789,23.1504,0.9562,1,8.1593,6.7712,342.410045921145
"558015",45,"K-6",11107.9,16760.2,44.6674,24.4265,0.9408,1,8.511,7.1216,74.1338253822982
"558016",46,"K-6",11078.1,16766.1,37.0107,22.6345,0.9078,1,8.2305,5.9448,98.9510393371809
"558017",47,"K-6",11116.8,16760.2,56.3601,28.498,0.8721,0.9797,10.264,7.5303,72.5586565008585
"558018",48,"K-6",10790.6,16360,20.7855,16.8037,0.925,1,5.8872,4.7199,76.3304173036224
"558019",49,"K-6",10599.2,16751.4,23.0019,17.5624,0.9371,1,6.2279,4.7957,20.2743506505584
"558020",50,"K-6",11059.5,16591.2,40.9242,24.3988,0.8639,1,9.7026,5.5848,176.297721044741
