"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,14722.1,15956.5,14725.6137725725,15960.0571621145
"2",2,15016.1,16001.7,15019.7617299638,16005.1046635182
"3",3,15455.4,16409.2,15459.8824564715,16406.9846932536
"4",4,15230.2,15714.8,15225.4302360717,15716.2997840072
"5",5,15234.8,15749.4,15234.4822389625,15744.4101074237
"6",6,15011.5,16728.7,15008.7062738367,16732.8466967727
"7",7,14926.5,16020.2,14925.1213109419,16025.0061644251
"8",8,14975.8,16091.7,14974.7232865852,16096.5826927225
"9",9,14700.1,16359.6,14699.1423763353,16364.5074389366
"10",10,14483.8,16441.3,14483.5279482779,16446.2925933001
"11",11,15566.1,16178.3,15561.4078294741,16180.0272914507
"12",12,14602.8,15994.4,14603.6001719815,15999.3355571925
"13",13,14819.2,16487.3,14822.7577407524,16490.8131866929
"14",14,14914.5,16681.5,14913.1598694778,16676.68294175
"15",15,15621.9,16418.6,15624.5592480563,16422.8341941117
"16",16,14653.6,16043.7,14653.0192623605,16038.7338401361
"17",17,15026,15792.9,15021.2128395761,15794.3432931359
"18",18,15089.8,15868.7,15085.671996051,15871.5212733644
"19",19,14807.5,16287.6,14806.7562543697,16292.5443748278
"20",20,14548.3,16256.3,14550.2907379145,16260.8866068674
"21",21,15131.8,16044.2,15133.042026143,16049.0432810222
"22",22,15162.6,15984.3,15163.6213062282,15989.1945820647
"23",23,15093.5,15805.2,15091.2204090407,15809.6501084322
"24",24,15402.4,15955.6,15399.7750868858,15959.8555647266
"25",25,14858.4,16760.5,14857.2212824464,16765.359076551
"26",26,14618.6,16539.1,14619.0623820154,16544.0785743815
"27",27,14691.2,16131.9,14690.7414694693,16136.8789305832
"28",28,15448.7,15985.2,15446.5640645331,15989.7208162627
"29",29,14770.2,16242.1,14767.2910375981,16246.1666863346
"30",30,14707.7,16482.5,14707.0952451219,16487.463292409
"31",31,15615.9,16424.3,15618.9982975314,16428.2243537566
"32",32,14812.5,16793.7,14810.7957076214,16798.4005731021
"33",33,14656,16360.1,14655.205065169,16365.0364034088
"34",34,14527.4,16364.7,14528.3349439535,16369.611810237
"35",35,14875,16113.8,14873.412775927,16118.5413837371
"36",36,14895.3,15982.1,14897.5254971055,15986.5774057928
"37",37,14840,16574.3,14844.6322041072,16576.1822021968
"38",38,15553.8,16164.3,15557.0734805979,16168.0794609106
"39",39,14886.4,16535.4,14884.0249430221,16531.0001017794
"40",40,15401.6,16036.3,15402.6885243281,16041.1800732358
"41",41,15440.4,16011,15440.4124683752,16015.9999844539
"42",42,14734.4,16546.9,14734.1779100856,16551.8950651717
"43",43,14673.1,16391.5,14677.9433794122,16392.7416424081
"44",44,15437.8,16372,15440.2792036352,16376.3420674034
"45",45,15518.4,16492.9,15516.0579270684,16488.4824560689
"46",46,14890.9,16452.1,14889.1802359571,16456.7949346787
"47",47,14611.9,15997.1,14610.9018173627,16001.9993501021
"48",48,14987.8,15849.9,14987.5784831354,15854.8950906177
"49",49,15375.3,16627.2,15371.600452415,16630.5635320225
"50",50,14873,16426.3,14877.9702129051,16425.7550379115
