"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,5451.7,17346.4,5451.8925933343,17351.3962894039
"2",2,4855.7,17515.3,4855.79009093461,17520.2991882965
"3",3,5586.5,17418.6,5590.69290758155,17421.3238806899
"4",4,5326,17169.4,5325.34293292956,17174.3566382625
"5",5,5616.1,17503.5,5618.44585895024,17507.9155345979
"6",6,4983.4,17325.1,4981.38200911462,17329.6746817142
"7",7,5510.1,17195.6,5511.94557335681,17200.2469193004
"8",8,5223.7,17345.7,5222.35076975305,17350.5145173944
"9",9,5542.7,17611.8,5539.85059578447,17615.9086367102
"10",10,4733.3,17804.2,4730.16893415973,17808.0982594454
"11",11,5064.4,17392.1,5062.69816745401,17396.8014642384
"12",12,5346.7,17444.5,5348.55745244785,17449.1421837969
"13",13,5438,17285.6,5439.59539746923,17290.3386397748
"14",14,4920.5,17794.6,4920.64536540629,17799.5978864432
"15",15,5583.9,17274.6,5586.61238430049,17278.800353724
"16",16,5190.1,17029.2,5191.46216907298,17034.0108726253
"17",17,5238.9,17089.8,5238.90670213568,17094.7999955081
"18",18,5462.3,17286.4,5464.20416457543,17291.0232193621
"19",19,5400.3,17699.2,5397.02590815931,17702.9789314123
"20",20,5380.9,17421.7,5380.35842611165,17426.6705832378
"21",21,5429.9,17980.9,5427.25888515576,17985.1455285159
"22",22,5644.2,17744.9,5642.64888605586,17749.6533194225
"23",23,5521.3,17855,5521.25509564439,17859.9997983558
"24",24,5722.1,17654.9,5723.58151008556,17659.6754714811
"25",25,4820,17772.5,4819.15438930339,17777.4279755021
"26",26,5121.7,17743.7,5120.06279387982,17748.4243577468
"27",27,4925.3,17063.8,4921.21907614811,17066.6889549174
"28",28,5313.1,17137.9,5313.64750644463,17142.8699332685
"29",29,5397.3,17640.6,5395.09962602676,17645.0898056058
"30",30,5053.4,17373.1,5054.57522454156,17377.9599225587
"31",31,5569.7,17187.6,5569.51719736045,17192.5966572021
"32",32,5323.8,17599.3,5321.15366622456,17603.5422774012
"33",33,5170.9,18209.5,5168.80635521496,18214.0405563001
"34",34,5450.5,17374.7,5453.0380384974,17379.0079415718
"35",35,4992.1,18216.7,4988.99757804277,18220.6210939799
"36",36,5487.3,17478.6,5485.91720300366,17483.4049841276
"37",37,5349.7,17281.9,5351.30679728757,17286.6347864236
"38",38,5479.7,17213.3,5483.41908317512,17209.958081339
"39",39,5546.3,17555.6,5550.42290379511,17552.7712786818
"40",40,5030.6,18233.6,5033.01616341217,18237.9774598074
"41",41,5406.7,17296.7,5403.97464457445,17300.8919491653
"42",42,4909.9,18004.9,4910.41181573929,18009.8737354824
"43",43,5087.6,17820.8,5087.75736628933,17825.7975229715
"44",44,4879.3,17074.8,4878.90904574345,17079.7846920436
"45",45,4857.3,17984.8,4855.94761168823,17989.6136312545
"46",46,5670.7,17914,5668.4125306903,17918.4460638949
"47",47,5697.8,17383.7,5699.82094532753,17388.273377306
"48",48,5428.3,18067.1,5428.06636877775,18072.0945386626
"49",49,5281.9,17834,5279.99329219359,17838.6221710636
"50",50,5085,18048.4,5081.86060456326,18052.2915544827
"51",51,5476.6,17927,5476.39810609823,17931.9959222224
"52",52,5706,17709.6,5705.31083970024,17714.5522780699
"53",53,5467.3,17528,5465.01131090853,17532.4454361139
"54",54,5049.3,18076.8,5051.41001601735,18081.3329716971
"55",55,5482.3,17869.1,5484.86090571219,17873.3943872593
"56",56,5172.2,17887.5,5171.66027829972,17892.4707846952
"57",57,5344.4,18133.6,5341.72213893881,18137.822447174
"58",58,5235.3,17265.8,5240.23235409052,17266.6196847722
"59",59,5459.5,18187.8,5457.57570931042,18192.414878692
"60",60,4896.3,17735.9,4898.16930736064,17740.5374227747
"61",61,5372.6,17825.9,5368.61811815774,17828.9240067782
"62",62,4790.5,17317.3,4789.15018776773,17322.1143542597
"63",63,4725.9,17443.5,4729.73960028576,17446.7027284689
"64",64,5525.5,17875.1,5525.05248584832,17880.0799328393
"65",65,4934.5,17349.7,4933.20926723162,17354.5305288448
"66",66,5040.2,17504.5,5036.21354121836,17507.5179705735
"67",67,5131.9,17722,5135.74583480899,17725.1952393685
"68",68,5476,17636.6,5475.85899558282,17641.59801138
"69",69,5472,17257.2,5472.94946235387,17262.1090244691
"70",70,4988.7,18231.9,4990.52899404407,18236.5534697578
"71",71,4774.7,17956.6,4770.19464032581,17954.4316517332
"72",72,5078.2,17034.3,5076.34911797915,17038.9448073959
"73",73,5740.5,17839.7,5740.80653625521,17844.6905947065
"74",74,5349.9,17119.6,5348.9679118472,17124.5123529673
"75",75,5571.1,17465.4,5566.44457566686,17467.2240132342
"76",76,5740.5,17544.1,5744.23882582126,17547.4198164826
"77",77,5493.1,17061.8,5493.37251282363,17066.7925681529
"78",78,4892,17861.1,4895.66671284104,17864.4992965362
"79",79,5472,18096.1,5472.66345308487,18101.0557875261
"80",80,4757,17725,4756.75628179756,17729.9940566114
"81",81,5721.9,17360.2,5719.31117487572,17364.477614344
"82",82,4890,17454.2,4887.16572589967,17458.3190885308
"83",83,5286.5,17535.7,5291.31328478814,17537.0536209027
"84",84,5020.6,17283.3,5022.33499957931,17287.9893258001
"85",85,5084.2,17251.3,5082.63652206538,17256.0492669695
"86",86,4856.6,17718.9,4861.13151899051,17721.0131340797
"87",87,5795.6,17761.9,5790.7962030783,17763.2869156914
"88",88,5134.9,17546.1,5130.79746980629,17548.9581892886
"89",89,4763.8,17583.6,4766.61853861862,17587.7298716754
"90",90,5116.2,17497.6,5111.86406547933,17500.0899140211
"91",91,5203,17708.5,5207.74416515185,17710.0788910703
