"","cell_ID","TMA.core","Centroid.X.µm","Centroid.Y.µm","Area.µm.2","Length.µm","Circularity","Solidity","Max.diameter.µm","Min.diameter.µm","orientation"
"600601",1,"L-4",8603,17351.3,41.2157,24.4147,0.8689,1,9.5114,5.6117,107.387192535877
"600602",2,"L-4",8586.5,17359.7,24.2943,18.2624,0.9154,1,6.8506,4.8206,115.931096253711
"600603",3,"L-4",8593.2,17341.8,59.2892,32.9433,0.6865,1,14.2872,5.2299,170.254504670575
"600604",4,"L-4",8606.4,17356.6,21.2374,17.0312,0.9201,1,6.0684,4.5765,87.1283928373916
"600605",5,"L-4",8577.3,17340.4,21.594,17.8697,0.8498,1,7.2383,4.0021,249.637928712814
"600606",6,"L-4",8586.2,17306,38.2239,27.0255,0.6577,0.9714,11.6375,3.9947,104.84202836956
"600607",7,"L-4",8568.1,17325.4,86.67,38.1987,0.7464,0.988,16.1113,6.8224,118.991545534077
"600608",8,"L-4",8578.2,17322.5,26.3442,20.8015,0.7651,1,8.8136,4.0092,118.882177039365
"600609",9,"L-4",8593.7,17350.7,42.7738,24.8124,0.8731,0.9892,8.9115,6.7505,91.150689914758
"600610",10,"L-4",8586.5,17332.9,25.2649,21.1283,0.7112,0.9793,9.017,3.7046,44.7606298961278
"600611",11,"L-4",8606.7,17340.2,13.1356,13.4906,0.907,1,4.87,3.5201,248.499065851704
"600612",12,"L-4",8581.8,17356.2,32.7365,26.5155,0.5851,0.973,11.9008,3.5163,173.527408043559
"600613",13,"L-4",8609.2,17349.1,10.3107,12.0356,0.8945,1,4.4362,3.1907,81.7921273698632
"600614",14,"L-4",8570.3,17353.3,18.4633,19.193,0.6298,0.9607,8.5259,3.0107,32.6140329553324
"600615",15,"L-4",8585.5,17312.7,21.8582,33.8379,0.2399,0.5878,12.4243,4.3211,255.959361529205
"600616",16,"L-4",8604.8,17364.8,18.455,18.2075,0.6996,0.9696,7.7117,3.1841,121.538052459175
"600617",17,"L-4",8480.3,17711.5,35.7713,21.6581,0.9583,1,7.1022,6.5166,42.9260403750856
"600618",18,"L-4",8231.7,18106.3,109.9803,37.7001,0.9724,1,12.7181,11.6151,119.517095296014
"600619",19,"L-4",8594.9,17646.7,44.0776,24.0623,0.9566,1,8.5352,6.6658,70.0419945500318
"600620",20,"L-4",8572.2,17468.6,38.6483,22.4498,0.9636,1,7.4936,6.5883,63.1075178939481
"600621",21,"L-4",7641.9,17293,40.1,22.9937,0.9531,1,8.138,6.4882,81.6306472293253
"600622",22,"L-4",8567.1,17431.7,47.2562,24.8027,0.9653,1,8.5869,7.0846,156.750229238044
"600623",23,"L-4",8554.9,17475.7,34.6951,21.4264,0.9497,1,7.5648,6.0311,84.9693320506575
"600624",24,"L-4",8664,17606.6,30.912,20.2589,0.9465,1,6.8912,5.9649,234.70973230991
"600625",25,"L-4",8580.3,17975.7,35.179,21.6022,0.9473,1,7.7555,5.8235,96.1859379157695
"600626",26,"L-4",7853.2,17676,45.3412,24.2928,0.9655,1,8.218,7.1891,65.61118050936
"600627",27,"L-4",8651.3,17788.8,37.6345,22.3578,0.9461,1,7.7861,6.2879,337.509222763162
"600628",28,"L-4",7965.6,17566.5,49.9391,25.6768,0.9519,1,9.0649,6.9508,99.7247961625148
"600629",29,"L-4",7748.5,17087.1,33.9598,21.1041,0.9582,1,7.1484,6.1935,25.1868864453475
"600630",30,"L-4",7762,17724.9,52.9488,26.0855,0.9778,1,8.6637,7.7513,104.694434764876
"600631",31,"L-4",7648.2,17844.9,34.937,21.416,0.9572,1,7.3962,6.2584,84.6377999198019
"600632",32,"L-4",7789.3,17233.6,44.3906,24.2044,0.9522,1,8.2874,7.366,177.588788704135
"600633",33,"L-4",8603.9,17677.8,42.7519,24.0918,0.9256,1,8.8295,6.114,108.522104265461
"600634",34,"L-4",8640.2,17619.9,34.4176,21.3744,0.9467,1,7.4511,5.9321,133.163768801659
"600635",35,"L-4",7561.4,17926.5,41.8716,23.3572,0.9645,1,7.9004,6.7666,100.42677830924
"600636",36,"L-4",7639.1,17854,42.6309,23.7646,0.9486,1,8.5046,6.5277,79.4623141603387
"600637",37,"L-4",7688.6,17068.3,40.3992,23.053,0.9553,1,7.9321,6.7532,350.860993697626
"600638",38,"L-4",7552.2,17869.5,33.6244,21.0034,0.9578,1,7.0216,6.2555,98.1750109318767
