TMA.core,Density of nucleus_mean,Density of nucleus_max,Density of nucleus_min,Density of nucleus_CoV,Density of clusters,Number of triangles,Perimeter of triangle_mean,Perimeter of triangle_max,Perimeter of triangle_min,Perimeter of triangle_CoV,Area of triangle_mean,Area of triangle_max,Area of triangle_min,Area of triangle_CoV,COrE_corrln_mean,COrE_IDM_mean,COrE_dissimilarity_mean,COrE_entropy_mean,COrE_energy_mean,COrE_diffEntropy_mean,COrE_contrast_mean,COrE_diffVariance_mean,COrE_Homogeneity1_mean,COrE_Homogeneity2_mean,COrE_SumAverage_mean,COrE_SumEntropy_mean,COrE_SumVariance_mean,COrE_corrln_max,COrE_IDM_max,COrE_dissimilarity_max,COrE_entropy_max,COrE_energy_max,COrE_diffEntropy_max,COrE_contrast_max,COrE_diffVariance_max,COrE_Homogeneity1_max,COrE_Homogeneity2_max,COrE_SumAverage_max,COrE_SumEntropy_max,COrE_SumVariance_max,COrE_corrln_min,COrE_IDM_min,COrE_dissimilarity_min,COrE_entropy_min,COrE_energy_min,COrE_diffEntropy_min,COrE_contrast_min,COrE_diffVariance_min,COrE_Homogeneity1_min,COrE_Homogeneity2_min,COrE_SumAverage_min,COrE_SumEntropy_min,COrE_SumVariance_min
D-9,11782.01292,11782.01292,11782.01292,NA,13.0297336,7952,33.06195993,984.1951157,9.981854002,0.796350305,47.12289235,2990.1,1.845,1.528212843,-0.029538532,0.000176718,5.397263042,5.375471899,0.079881371,2.649016631,45.79620925,0.00173844,-0.004365586,0.152459882,15.49920513,3.242376876,193.3981663,-0.029538532,0.000176718,5.397263042,5.375471899,0.079881371,2.649016631,45.79620925,0.00173844,-0.004365586,0.152459882,15.49920513,3.242376876,193.3981663,-0.029538532,0.000176718,5.397263042,5.375471899,0.079881371,2.649016631,45.79620925,0.00173844,-0.004365586,0.152459882,15.49920513,3.242376876,193.3981663
A-3,8690.879595,11519.98962,8690.879595,0.368411564,25.80571471,5600,52.93206522,927.7392086,11.88944102,0.921512991,139.79575,21808.515,3.07,4.223065458,-0.03441554,0.000231799,4.751800503,4.923245188,0.101600397,2.526616312,38.51727152,0.002661481,-0.007061164,0.182276322,12.93407484,3.084846284,133.204771,-0.024654314,0.000377715,4.864656831,5.139132426,0.125342327,2.543185368,39.06692324,0.00281541,-0.004961777,0.213300967,13.5614715,3.11725145,145.3761062,-0.051009219,0,4.640955588,4.589470901,0.086505879,2.51511037,37.81739628,0.002584189,-0.010094797,0.158866892,12.36882657,3.034236743,122.1832587
G-4,8545.875817,14542.78406,8545.875817,0.394366449,60.74366404,6956,51.64135724,1167.060847,9.827999915,0.971093533,126.1478989,11616.65,1.16,2.684329705,-0.03581034,0.000642341,5.058257154,5.072946218,0.094637832,2.586128065,42.92381791,0.002261309,-0.006771443,0.179113057,14.02674826,3.149728363,160.2966408,-0.022700422,0.002799596,6.55774166,5.367899125,0.132616308,2.808362743,67.8514659,0.002957915,-0.004534803,0.235846872,16.22139765,3.37441805,206.9859912,-0.065528793,0,4.350938455,4.453323764,0.079718447,2.454613842,32.19205587,0.001009056,-0.012769165,0.155249683,11.03186381,2.933848474,93.81035964
H-6,12105.27309,13448.67305,12105.27309,0.112962283,24.7721372,23400,33.3600564,1406.40158,11.88821675,0.874843257,50.49065791,7862.5,2.895,2.380898329,-0.026624118,0.000254103,4.489466857,4.943689956,0.10670482,2.484895279,35.74389471,0.003119617,-0.006896222,0.181836324,14.19107931,3.048082158,158.4332812,-0.019431383,0.000662057,5.159482124,5.263760051,0.132719165,2.619969252,46.37678388,0.004698612,-0.005635903,0.201047604,14.71614321,3.178932375,171.3075379,-0.033411247,3.43E-05,3.568570471,4.514130689,0.085265683,2.28732917,23.79166201,0.002202109,-0.009098548,0.168829689,13.12873326,2.843818062,142.6006208
E-11,9453.066968,12685.80282,9453.066968,0.27611191,35.29008366,8328,48.32368731,852.1699495,10.24302048,0.894378934,112.8805337,10875.545,3.31,3.028418206,-0.031619706,0.000370949,4.772712667,4.966325353,0.098638389,2.529000987,38.86169075,0.002664565,-0.006843129,0.181162114,13.71672127,3.096398225,149.4500793,-0.022314313,0.001241346,5.645635264,5.150871395,0.11724524,2.62672689,51.23941227,0.003116082,-0.005266824,0.216080481,14.27583353,3.137141075,163.0225068,-0.054365676,8.88E-05,4.358939407,4.66885027,0.089335691,2.468010643,32.65795693,0.001934904,-0.010189306,0.163810155,12.68337655,3.051785418,137.222435
C-13,10619.55377,10619.55377,10619.55377,NA,7.477236326,13251,34.86405871,2056.902844,9.912104337,0.963841932,52.91509735,19130.325,0.36,3.757176752,-0.028008034,0.000256876,5.253118117,5.336107531,0.080146919,2.632952134,44.38504738,0.001908032,-0.004405129,0.152587034,14.46240961,3.2188905,168.3832321,-0.028008034,0.000256876,5.253118117,5.336107531,0.080146919,2.632952134,44.38504738,0.001908032,-0.004405129,0.152587034,14.46240961,3.2188905,168.3832321,-0.028008034,0.000256876,5.253118117,5.336107531,0.080146919,2.632952134,44.38504738,0.001908032,-0.004405129,0.152587034,14.46240961,3.2188905,168.3832321
L-10,8165.08596,11694.3936,8165.08596,0.254127366,40.82644343,6857,50.5487642,1100.273026,10.33331468,0.925381926,118.6192132,9318.645,2.05,2.379326589,-0.038555938,0.000514695,5.378132405,4.977646689,0.102420709,2.633380348,47.11094352,0.001930285,-0.007968219,0.191190746,15.27396872,3.180335046,190.8574327,-0.027580502,0.001720874,6.086171177,5.507613114,0.129892543,2.739958387,56.43440743,0.002436256,-0.004069294,0.248363148,16.41782826,3.339519966,224.9321814,-0.053210147,0,4.914663055,4.526842008,0.072397348,2.565264113,39.40323473,0.001232142,-0.013966503,0.147972421,13.39182453,3.064485568,144.2541423
C-1,10956.82337,10956.82337,10956.82337,NA,7.477819473,13859,33.63237084,1763.225261,9.075543006,0.914693661,49.11013746,6067.665,1.785,2.057315362,-0.020451007,0.000360628,4.862998833,5.289080158,0.084596385,2.566230669,39.62824636,0.002397232,-0.004662578,0.156254201,14.49604119,3.168060198,166.3630088,-0.020451007,0.000360628,4.862998833,5.289080158,0.084596385,2.566230669,39.62824636,0.002397232,-0.004662578,0.156254201,14.49604119,3.168060198,166.3630088,-0.020451007,0.000360628,4.862998833,5.289080158,0.084596385,2.566230669,39.62824636,0.002397232,-0.004662578,0.156254201,14.49604119,3.168060198,166.3630088
L-9,7490.411363,11498.35761,7490.411363,0.343148354,34.37936244,7244,49.10756442,1088.514485,10.83424941,0.812078465,107.5943898,6965.255,2.37,1.783150472,-0.04291798,0.000132555,5.410842333,5.118200691,0.090029164,2.634581521,46.24223999,0.001821452,-0.006486367,0.177966623,14.86964677,3.200938072,179.6846339,-0.024327259,0.000284188,5.833530572,5.392060397,0.10673947,2.667467807,50.99171598,0.002215207,-0.00463142,0.215279751,16.93491124,3.253551382,233.0911499,-0.06983481,0,5.004476944,4.786754699,0.07684197,2.593495017,41.40607714,0.00146182,-0.009725248,0.155506518,13.89477966,3.173107438,158.3728111
L-3,8596.435187,11534.16791,8596.435187,0.280967392,29.71919593,10180,47.89029142,955.9529247,11.06627259,0.601946109,100.9748281,7356.425,1.095,1.604145128,-0.044930763,8.46E-05,4.779328876,4.81118538,0.110338956,2.526447132,37.74170107,0.002494376,-0.009535744,0.207774824,14.48570853,3.070942238,166.0065375,-0.025187965,0.000313737,5.458276864,5.310159459,0.128094976,2.650233949,48.89060987,0.00325582,-0.004420324,0.250252936,16.23298639,3.194443534,204.7704153,-0.061868197,0,4.074509804,4.419645887,0.079711745,2.387916175,26.62895928,0.001918443,-0.014526898,0.152479744,12.75450763,2.991645645,130.7474358
