TMA.core,TMA.set,Kcross.Cancer2lympho,Kcross.lympho2Cancer,Kcross.Cancer2Stromal,Kcross.Stromal2Cancer,Kcross.Lympho2Stromal,Kcross.Stromal2Lympho,cancer ratio,stromal ratio,lymphocytes ratio,lymphocyte.dens,cancer.dens,stroma.dens,cancer.to.lympho.avgCount,lympho.to.cancer.avgCount,cancer.to.stroma.avgCount,stroma.to.cancer.avgCount,stroma.to.lympho.avgCount,lympho.to.stroma.avgCount,ShannonH,DoC_TL_max,DoC_SL_max,DoC_TL_min,DoC_SL_min,DoC_TL_mean,DoC_SL_mean,DoC_TL_Std,DoC_SL_Std,DoC_LT_max,DoC_ST_max,DoC_LT_min,DoC_ST_min,DoC_LT_mean,DoC_ST_mean,DoC_LT_Std,DoC_ST_Std,DoC_TS_max,DoC_LS_max,DoC_TS_min,DoC_LS_min,DoC_TS_mean,DoC_LS_mean,DoC_TS_Std,DoC_LS_Std,localized_TL,localized_SL,localized_LT,localized_ST,localized_TS,localized_LS
I-6,963,7601.872379,-722.9573145,8436.904028,76.38757035,9564.99197,1219.542682,0.51779661,0.087711864,0.394491525,8832.910566,11593.78809,1963.923187,69.09022556,52.63747954,65.39130435,11.07692308,11.26423201,50.66183575,1.318519397,0.933612384,0.936376729,-0.86908936,-0.781492885,-0.007933587,0.072340133,0.457578778,0.401756674,0.9391696,0.939482621,-0.890793691,-0.861497821,-0.017881028,0.047638356,0.44696277,0.38250339,0.922401119,0.925060998,-0.75286053,-0.805026824,0.15125534,0.120246363,0.451996724,0.473010262,0.016129032,0.019354839,0.01965602,0.008190008,0.033980583,0.048543689
I-7,963,7341.170008,-1038.605054,6066.770475,-2348.257908,7299.577008,-1147.131298,0.379742173,0.127440147,0.49281768,12032.04242,9271.327159,3111.425021,55.45665172,71.9699321,52.97976879,17.77982541,17.96786248,69.48265896,1.366748958,0.940029091,0.955073905,-0.8786379,-0.848033033,0.053673813,0.004448719,0.474787034,0.427612049,0.949137565,0.890424444,-0.828746248,-0.783194217,0.108396504,-0.019581669,0.470132752,0.400093981,0.89853875,0.927797293,-0.808254774,-0.866668596,-0.024525531,-0.031436843,0.459670028,0.500282645,0.033657442,0.038893044,0.047572816,0.037864078,0.011594203,0.031884058
J-7,963,6546.609104,-1853.835105,7389.14834,-913.2068141,8420.770417,11.98002768,0.689828504,0.068302779,0.241868717,5515.560004,15730.80867,1557.572568,97.47066015,34.17531076,94.19480519,9.326618088,9.114914425,32.27705628,1.116445908,0.925315045,0.908062869,-0.88810277,-0.667551201,-0.072727004,-0.001922215,0.454728931,0.391974343,0.918270794,0.918521417,-0.875384919,-0.864975233,-0.091321894,-0.008820184,0.399451145,0.362694072,0.913662776,0.858645364,-0.844913356,-0.762987964,0.056106811,0.054001456,0.497006822,0.442345386,0.013463892,0.009791922,0.007718696,0.006861063,0.039130435,0.004347826
K-10,963,7221.223601,-1177.822498,5773.544321,-2057.416582,6791.690328,-1449.603618,0.65558838,0.029788282,0.314623338,8541.40136,17797.92787,808.69293,109.814554,52.70033796,105.3057851,4.78482914,4.813771518,50.84297521,1.043859952,0.939150711,0.947548419,-0.906040234,-0.740959023,0.111581531,-0.037998473,0.538223262,0.399713362,0.941970983,0.945417238,-0.890777169,-0.897432062,0.006021182,-0.068735239,0.50165605,0.349669133,0.910915503,0.956110604,-0.874426506,-0.823287803,-0.014501843,-0.068837055,0.522438241,0.490221427,0.051683634,0.207517619,0.030428249,0.164537941,0.033333333,0.041666667
J-9,963,6744.125774,-1199.905898,4453.19232,-4047.535494,12504.24598,2829.259411,0.511178862,0.429878049,0.058943089,664.2145113,5760.343089,4844.185143,21.37931034,2.465208748,21.57683215,18.14512922,18.43103448,2.527186761,1.199984989,0.95000399,0.890358061,-0.66801355,-0.695794747,0.002681942,0.178410662,0.515856053,0.523324718,0.934924329,0.922246148,-0.685207823,-0.782296367,-0.051771896,0.019048711,0.343755098,0.41094251,0.925057874,0.924564192,-0.828959659,-0.570785748,0.053567712,0.021791346,0.451703395,0.407545483,0.070175439,0.052631579,0.207171315,0.089641434,0.021327014,0.161137441
F-9,963,8774.719316,292.4098227,9006.163841,660.6594872,9365.136165,1256.856026,0.472520531,0.099178774,0.428300695,10951.13468,12081.78281,2535.88222,63.74557522,57.78008021,62.11783439,13.03877005,13.92625369,60.14012739,1.35769123,0.952170959,0.93149288,-0.907473394,-0.837879394,0.194667414,0.134250276,0.494280289,0.440572943,0.95022856,0.957193301,-0.875856021,-0.86693794,0.191030872,0.097167739,0.489361052,0.431010334,0.955867899,0.924865809,-0.835125976,-0.813859243,0.224412141,0.220477913,0.494236054,0.479738566,0.080442804,0.033210332,0.081605351,0.036120401,0.07028754,0.079872204
G-1,963,6347.56464,-1965.152711,13266.17794,4579.093938,8602.073134,-1.60334629,0.398865784,0.258979206,0.342155009,2366.847996,2759.143244,1791.481632,14.8038674,12.69905213,17.2189781,11.17772512,8.839779006,11.67883212,1.463025946,0.937691585,0.927617843,-0.668426104,-0.641828826,-0.005468462,0.021369946,0.423671877,0.41202414,0.926375139,0.928372154,-0.722194825,-0.662996645,0.006554037,0.125245451,0.404626665,0.416895243,0.916070803,0.9187084,-0.700952373,-0.669481456,0.167947343,0.050414652,0.460882931,0.447124461,0.033240997,0.024930748,0.045130641,0.026128266,0.065934066,0.036630037
F-2,963,6031.071492,-2348.991578,7673.501494,-700.3649747,8852.576628,486.3424468,0.396403896,0.044035628,0.559560476,33440.07793,23689.62379,2631.627674,186.8823267,263.8086938,190.241966,21.13460731,22.07155608,280.4555766,1.189060807,0.947558106,0.96465675,-0.959805734,-0.918854402,-0.199407755,0.028491473,0.514069169,0.429643541,0.94661288,0.942673133,-0.954143163,-0.929966932,-0.180156397,0.010389522,0.535704071,0.419644705,0.939850758,0.967510764,-0.919805469,-0.927470998,0.041898504,0.031368983,0.514882238,0.53135991,0.023508406,0.018003273,0.02226423,0.012602394,0.049242424,0.058712121
B-10,963,6667.771162,-1693.021158,7481.034962,-904.8715487,6090.226297,-2302.306594,0.529437229,0.1002886,0.37027417,14328.09144,20487.04891,3880.757425,175.9910366,123.0834015,180.1179856,34.11883347,38.1309431,140.7784173,1.307205464,0.937570005,0.922232065,-0.935075441,-0.923007122,-0.193584498,-0.131918353,0.532643932,0.409750825,0.923879995,0.930592221,-0.942376282,-0.911366578,-0.133150565,-0.023587869,0.483463563,0.424879702,0.926892084,0.927889931,-0.914828388,-0.938113396,-0.047282413,-0.18114139,0.505376567,0.466103751,0.023001949,0.00545809,0.013631407,0.010905125,0.034582133,0.010086455
E-6,963,8543.924203,143.1931405,11717.66213,3316.522029,14012.67247,5607.456998,0.583857442,0.099318658,0.316823899,5756.286106,10607.94495,1804.493329,82.05789909,44.52827648,87.95778364,14.96229803,14.66583954,46.78364116,1.284337688,0.943310142,0.948313981,-0.863506708,-0.813796968,0.068542883,0.16887867,0.498967054,0.422234169,0.941379635,0.949620105,-0.899402348,-0.800756825,0.040574886,0.125687816,0.459819989,0.401285303,0.943950731,0.946284109,-0.802762645,-0.682763665,0.179932153,0.180194657,0.481657594,0.449724665,0.04718543,0.035596026,0.033677593,0.023798833,0.071428571,0.066137566
H-7,963,5995.888197,-2413.122556,7948.538222,-453.9364129,9342.536941,965.9719115,0.552036199,0.135984758,0.311979043,7823.85878,13844.04935,3410.246842,90.62061069,51.21397757,89.21015762,21.97627265,25.91603053,59.45709282,1.362469796,0.939901664,0.960534477,-0.88421887,-0.846776161,-0.086395217,0.123307636,0.516601469,0.459566106,0.935838504,0.938125281,-0.89234151,-0.871632575,-0.099709241,-0.017489072,0.443966611,0.430041998,0.936622081,0.963376295,-0.864703764,-0.85826496,0.080785763,0.084005284,0.523713778,0.494974765,0.0473644,0.037433155,0.022011221,0.022011221,0.059649123,0.052631579
B-4,963,6592.535266,-1782.86336,7551.307507,-814.6257577,11099.52876,2645.096891,0.458162668,0.050029257,0.491808075,10326.08746,9619.662676,1050.422936,69.67459845,74.79118774,72.66666667,7.9348659,9.48364069,93.22807018,1.19001093,0.913451444,0.894088544,-0.897441639,-0.840203194,-0.081232122,0.009805992,0.448677308,0.356903546,0.924190001,0.9190315,-0.889887415,-0.737349361,-0.024939556,-0.00797504,0.431426868,0.357199992,0.924031396,0.920105957,-0.749504548,-0.83522359,0.019491349,-0.002079597,0.502283121,0.494040429,0.011904762,0.020833333,0.01086262,0.038338658,0.035294118,0.023529412
F-1,963,10387.72864,2046.849116,10813.95476,2644.371162,11154.77169,2949.785812,0.435152582,0.128814554,0.436032864,9985.500689,9965.341536,2949.956126,64.61843876,64.74915711,63.19589977,18.70734997,18.39165545,62.25512528,1.420023374,0.951089409,0.945624502,-0.873495258,-0.851093823,0.198528231,0.180174694,0.496775041,0.456038848,0.94757267,0.958111178,-0.887023412,-0.86448215,0.142621618,0.152580354,0.502966592,0.44122612,0.95131367,0.941237537,-0.754142858,-0.892746049,0.271786284,0.201038124,0.465579468,0.488455338,0.072727273,0.041077441,0.059379217,0.041160594,0.086757991,0.089041096
B-2,963,6727.811535,-1691.63359,9312.055527,955.4729649,16755.67658,8395.533211,0.276114844,0.072490328,0.651394828,17309.3378,7337.124743,1926.265788,63.49234136,149.7883481,59.10674157,15.51843658,16.95654892,152.3707865,1.098883217,0.933697169,0.973864877,-0.925636923,-0.925078099,-0.097567596,0.162444669,0.484577637,0.438717721,0.935614723,0.921297289,-0.935638487,-0.816843177,-0.004164956,0.017952861,0.473916138,0.403338283,0.917043782,0.963540536,-0.716144306,-0.90515334,0.120040833,0.16743148,0.474930705,0.527106532,0.020325203,0.036585366,0.026568266,0.033210332,0.056338028,0.081690141
C-5,963,6117.244043,-2274.11715,11236.35088,2791.854216,10722.6362,2275.465088,0.393858665,0.039399888,0.566741447,26342.90074,18307.07773,1831.359503,137.9430975,198.493414,144.0711744,14.41224635,13.69717961,197.024911,1.159975346,0.94078738,0.967606792,-0.929299917,-0.910198166,-0.137607432,0.065279039,0.523847486,0.451920407,0.952110872,0.958489858,-0.930479849,-0.862977962,-0.135711494,0.077385362,0.502010604,0.413286635,0.959662445,0.967606792,-0.884669223,-0.890411249,0.253257384,0.178224704,0.484275706,0.538855944,0.027715912,0.061370948,0.022435897,0.031339031,0.107142857,0.132142857
A-9,963,8959.951576,526.5576557,11929.29693,3582.609292,11994.52021,3806.859864,0.480128894,0.081274615,0.438596491,6194.851723,6781.466254,1147.943952,56.9722449,52.04474273,54.50660793,9.226696495,9.89877551,53.4185022,1.268665595,0.920436245,0.954268673,-0.909348105,-0.768942846,-0.001666451,0.033342546,0.483805117,0.410461773,0.940931315,0.948639798,-0.910816383,-0.939053567,-0.035827097,0.059224103,0.507264898,0.419597701,0.946447804,0.951437015,-0.814224694,-0.845238436,0.167189112,0.201245619,0.485278652,0.504925053,0.02369281,0.026960784,0.038059701,0.028358209,0.092920354,0.115044248
B-3,963,7792.690963,-569.3969289,6856.782766,-1548.365267,9235.943277,757.7560139,0.608851285,0.054669704,0.336479011,4854.167306,8783.507766,788.6848234,68.25145068,37.71886692,64.6547619,5.80545163,6.051257253,37.24404762,1.176018789,0.911280495,0.924227057,-0.86126267,-0.721645548,-0.037103483,-0.044608884,0.425530391,0.35354896,0.92149518,0.903002612,-0.845182402,-0.84736191,-0.014666985,-0.049710224,0.40253625,0.338067305,0.939802091,0.938358969,-0.850386478,-0.73810221,-0.069008935,0.012237515,0.483199019,0.465999099,0.010648596,0.057115198,0.009090909,0.061497326,0.011976048,0.047904192
C-8,963,6169.607946,-2219.87933,6599.995,-1776.772362,10629.88212,2223.770123,0.55952381,0.113240418,0.327235772,8010.633437,13696.97483,2772.091429,81.09671695,47.4291645,80.27179487,16.2459782,19.03815439,55.01538462,1.325322639,0.923555401,0.914819475,-0.884048659,-0.806516103,-0.108473224,0.028447114,0.469073077,0.402474922,0.923555401,0.900087601,-0.896594414,-0.872837463,-0.047996962,-0.030147149,0.436407587,0.395264408,0.88663517,0.919638782,-0.889569171,-0.8157438,0.027752667,0.0355448,0.485748218,0.462598061,0.015097691,0.010657194,0.010903427,0.001557632,0.020565553,0.025706941
