TMA.core,Density of nucleus_mean,Density of nucleus_max,Density of nucleus_min,Density of nucleus_CoV,Density of clusters,Number of triangles,Perimeter of triangle_mean,Perimeter of triangle_max,Perimeter of triangle_min,Perimeter of triangle_CoV,Area of triangle_mean,Area of triangle_max,Area of triangle_min,Area of triangle_CoV,COrE_corrln_mean,COrE_IDM_mean,COrE_dissimilarity_mean,COrE_entropy_mean,COrE_energy_mean,COrE_diffEntropy_mean,COrE_contrast_mean,COrE_diffVariance_mean,COrE_Homogeneity1_mean,COrE_Homogeneity2_mean,COrE_SumAverage_mean,COrE_SumEntropy_mean,COrE_SumVariance_mean,COrE_corrln_max,COrE_IDM_max,COrE_dissimilarity_max,COrE_entropy_max,COrE_energy_max,COrE_diffEntropy_max,COrE_contrast_max,COrE_diffVariance_max,COrE_Homogeneity1_max,COrE_Homogeneity2_max,COrE_SumAverage_max,COrE_SumEntropy_max,COrE_SumVariance_max,COrE_corrln_min,COrE_IDM_min,COrE_dissimilarity_min,COrE_entropy_min,COrE_energy_min,COrE_diffEntropy_min,COrE_contrast_min,COrE_diffVariance_min,COrE_Homogeneity1_min,COrE_Homogeneity2_min,COrE_SumAverage_min,COrE_SumEntropy_min,COrE_SumVariance_min
I-6,6887.608988,8660.038569,6887.608988,0.288891508,28.46265488,4691,54.5050868,851.3971142,10.0365406,0.803167826,135.7748732,12277.575,2.43,2.755979537,-0.039819793,0.000361492,4.97312271,4.881272372,0.102924637,2.570769488,42.27528308,0.002422049,-0.009050547,0.202307594,14.10841837,3.117953551,161.691426,-0.025631107,0.000636943,5.20762413,5.343420667,0.125753491,2.620296854,44.62652961,0.002686625,-0.004317317,0.230161873,15.53503185,3.220725207,189.9122721,-0.053184696,0,4.746496815,4.525092592,0.077564563,2.522717707,38.41783439,0.001996364,-0.011956409,0.151175212,12.18795888,3.0277193,124.0293352
I-7,7439.764147,9226.489013,7439.764147,0.23207828,35.97023146,5398,57.2092825,1521.547683,10.80746162,1.228420212,166.6129956,33115.76,1.65,5.156457747,-0.037161432,0.000107933,5.045641278,5.019555838,0.094912605,2.58933689,42.16466391,0.002223297,-0.007602177,0.189811689,14.14075299,3.146641767,161.0155545,-0.023824298,0.00030203,5.48474363,5.227150306,0.112498098,2.65532888,48.97892419,0.002722143,-0.004763972,0.233363831,15.0193515,3.190477795,177.8764469,-0.048757285,0,4.695898161,4.68489957,0.084309627,2.525179839,38.0990099,0.001822917,-0.011881794,0.157011128,12.49072035,3.055228053,131.0088945
J-7,8033.49937,11116.72636,8033.49937,0.542769872,13.48547678,6725,53.40000979,1366.700854,13.10577967,0.864408279,123.8041487,9782.415,1.82,2.453569525,-0.02926622,0.000106872,4.852690121,5.180915141,0.08708416,2.554309078,38.58947818,0.002420324,-0.005968049,0.173931959,13.39017746,3.141671126,141.4652632,-0.022483479,0.000213743,5.050173326,5.201374719,0.088040976,2.582536782,40.57069878,0.002664923,-0.004856915,0.189730538,13.61195498,3.165918987,145.1334892,-0.03604896,0,4.655206916,5.160455563,0.086127344,2.526081374,36.60825758,0.002175725,-0.007079183,0.15813338,13.16839993,3.117423265,137.7970373
K-10,7961.308635,10838.55852,7961.308635,0.187720618,53.46730116,8091,49.82320577,567.0157499,11.7715757,0.748308935,117.870817,7160.835,2.255,2.018470395,-0.030634572,0.000265026,4.618934511,4.988251145,0.099475669,2.506066893,36.90818838,0.00285848,-0.007348254,0.18448617,13.50010045,3.070627342,144.1677172,-0.021739803,0.000883392,5.127208481,5.280684303,0.130843639,2.596150652,44.55830389,0.003930137,-0.004779253,0.244985695,14.94876325,3.178148395,180.5361238,-0.05222503,0,3.945071113,4.456362717,0.084838787,2.329732254,26.82883767,0.002202845,-0.013320994,0.158053357,11.8548308,2.860008779,105.2663278
J-9,7076.700883,11728.35009,7076.700883,0.382747387,80.16382033,1948,91.07189821,1168.828323,14.94420891,0.935743064,353.6554338,12766.955,3.535,2.167434819,-0.103827512,0.000193741,3.911194192,3.071765057,0.284351873,1.686341061,34.77959849,0.010922984,-0.031242004,0.274724317,12.38836909,2.056438726,143.122291,-0.032967449,0.001356188,6.501278772,5.034421675,0.451553583,2.599166775,65.02813299,0.019560336,-0.006108665,0.311186533,17.49360614,3.164807614,286.8583628,-0.220299592,0,0.973638721,1.775773776,0.090266277,1.030502475,1.425669836,0.002295312,-0.047944632,0.174289637,7.312649165,1.317535664,60.99638102
F-9,9227.66003,15312.79983,9227.66003,0.316193238,121.1408704,6295,57.37712861,684.9497341,12.98268219,0.855489843,151.698355,21063.805,2.535,3.204938163,-0.040618102,0.000244119,4.802470633,4.816898306,0.111123086,2.525546033,39.43610495,0.002674164,-0.009725286,0.208192294,14.11087263,3.069239099,160.3620565,-0.021079873,0.000780251,5.853146853,5.350316469,0.157428271,2.692638648,54.55944056,0.004572711,-0.004635189,0.256590313,16.94410369,3.245186085,231.1774805,-0.070992969,0,3.628453039,4.129074301,0.079255939,2.256580731,23.75021097,0.001579439,-0.015615015,0.156100989,10.79957582,2.752164483,93.75247284
G-1,15094.28899,15094.28899,15094.28899,NA,6.538254132,2077,100.2340868,634.5856224,13.54717348,0.586419623,419.5321401,5713.94,7.725,1.214822231,-0.116174577,0,4.945413618,3.453683961,0.204710485,2.086332288,45.15925718,0.005065842,-0.019880339,0.258843003,12.45807541,2.45060036,135.90821,-0.116174577,0,4.945413618,3.453683961,0.204710485,2.086332288,45.15925718,0.005065842,-0.019880339,0.258843003,12.45807541,2.45060036,135.90821,-0.116174577,0,4.945413618,3.453683961,0.204710485,2.086332288,45.15925718,0.005065842,-0.019880339,0.258843003,12.45807541,2.45060036,135.90821
F-2,12310.45961,12310.45961,12310.45961,NA,4.974721502,23987,31.56303741,786.072214,9.028500288,0.686021533,43.33923188,4036.57,0.035,1.428860891,-0.027176691,0.000197852,5.152632123,5.290855999,0.083424498,2.616669416,42.97375239,0.002010374,-0.004599723,0.155233617,15.03697802,3.201787418,180.7715192,-0.027176691,0.000197852,5.152632123,5.290855999,0.083424498,2.616669416,42.97375239,0.002010374,-0.004599723,0.155233617,15.03697802,3.201787418,180.7715192,-0.027176691,0.000197852,5.152632123,5.290855999,0.083424498,2.616669416,42.97375239,0.002010374,-0.004599723,0.155233617,15.03697802,3.201787418,180.7715192
B-10,8503.49052,8503.49052,8503.49052,NA,5.583823634,13817,38.36096605,798.9013271,10.53852964,0.623857639,65.32567055,4611.38,0.5,1.437268499,-0.027850894,0.000673263,5.354670557,5.335463707,0.078155149,2.646235066,46.420835,0.001865397,-0.004312941,0.150988046,14.29466473,3.239611143,166.1193848,-0.027850894,0.000673263,5.354670557,5.335463707,0.078155149,2.646235066,46.420835,0.001865397,-0.004312941,0.150988046,14.29466473,3.239611143,166.1193848,-0.027850894,0.000673263,5.354670557,5.335463707,0.078155149,2.646235066,46.420835,0.001865397,-0.004312941,0.150988046,14.29466473,3.239611143,166.1193848
E-6,7241.712401,9315.673621,7241.712401,0.239333789,52.37315729,7587,55.61427515,1047.580376,11.38985464,0.623955145,139.538276,5410.625,2.1,1.381704387,-0.046091886,0.00017104,4.787675544,4.792898381,0.108812839,2.506136888,39.11631177,0.00282481,-0.009604822,0.207979815,13.299599,3.049012194,142.5779186,-0.029984523,0.000829876,5.886225816,5.329767358,0.1486939,2.639304662,51.75166041,0.004217175,-0.004649549,0.254683404,15.86658966,3.222161802,205.3855588,-0.081470011,0,3.996776793,4.163165577,0.079751294,2.314838541,28.75745367,0.001531511,-0.015173185,0.156629556,11.22243346,2.784961694,97.58108923
