TMA.core,Ki67_density,GATA3_density,CK20_density,CK56_density,CyclinD1_density,P16_density,P53_density,P63_density,Her2Neu_density,Ki67_P53.AUC,Ki67_Cyclin.AUC,P53_Cyclin.AUC,CK20_CK56.AUC,Her2Neu_GATA3.AUC,P63_GATA3.AUC,P63_Her2Neu.AUC,P53_Ki67.AUC,Cyclin.Ki67.AUC,Cyclin_P53.AUC,CK56_CK20.AUC,GATA3_Her2Neu.AUC,GATA3_P63.AUC,Her2Neu_P63.AUC
I-6,912.1265102,634.603615,170.0145407,160.0594145,3186.9792,310.3456811,115.0769959,742.8144161,1220.599489,24023.38675,18212.69493,33666.44686,504575.3092,67035.20013,97172.73812,40544.37854,15645.70162,9711.916898,25288.76173,419417.2206,57134.31112,87154.73927,33458.35374
I-7,1013.148269,3636.18725,505.1979358,397.5903411,5848.392183,815.8655362,401.3621883,2980.162066,4419.761153,15097.45668,9374.651787,17659.29338,16173.71944,16227.02968,13734.83666,9461.237278,7683.566087,932.1652207,9274.112635,11849.26332,7877.931275,5326.455886,890.352304
J-7,3622.227359,14222.62609,85.73873913,1376.544344,8970.372379,1367.314197,80.02314274,16161.47343,8538.299486,6933.735997,8160.279525,8045.426492,242.3001831,8534.720199,9615.745302,8898.602083,-1443.949132,-233.5213682,-332.2586375,-8135.384946,156.7637519,1221.458084,507.3564004
K-10,2907.586201,19.24768889,0,563.725818,79.29962462,6.952962729,191.107892,2765.827231,55.64945267,7953.371722,3013.383857,91988.52039,0,0,15363.91975,7684.949446,-130.3377244,-5471.98123,87306.19637,0,-8377.685129,13312.59887,-692.7356832
J-9,50.81177883,39.50570045,0,7764.725496,95.26465408,0,0,7906.261855,66.9358796,0,0,0,0,0,26119.93169,0,0,-8377.685129,0,0,-8377.685129,17742.24656,-8377.685129
F-9,289.427928,2729.816353,0,51.99446399,2897.726266,263.468967,88.18530333,1344.985349,401.6758043,0,11524.80491,16247.47885,0,6959.656766,14106.53118,14468.98359,-8377.685129,1820.736118,8887.855638,0,-2556.200427,5952.698474,5215.445022
G-1,1081.82413,6.084243155,0,6.03510017,34.61696545,0,0,19.1189227,190.341954,0,0,0,0,0,0,0,0,-8377.685129,0,0,0,0,-8377.685129
F-2,28314.6764,1635.025072,10.96832296,11539.64698,1441.657942,32757.69491,630.3422113,43718.24484,149.6267251,10167.33704,3236.215453,3721.489656,11855.71748,0,1143.977008,5183.298802,1788.373414,-5096.920575,-4656.195473,3478.032348,-8377.685129,-7232.114905,-3170.881728
B-10,3204.179289,21925.19806,940.4624645,43.81777482,7730.338201,305.9475652,129.9140082,13933.2931,710.843293,60007.04618,19309.54152,39475.73609,44146.72988,15936.41615,13909.2648,15264.44511,49162.8719,10689.98791,31325.23635,39732.21863,7549.120871,5509.614386,6850.202227
E-6,2418.304314,1126.878575,7.995828644,2082.260633,1636.809152,0,3278.247271,907.4411759,555.442776,53995.56447,53410.9497,46063.34617,0,40155.75776,90100.79748,62548.72164,45359.25814,45053.52016,37856.0687,0,32871.18932,81716.17802,56188.31337
H-7,6242.426153,21677.50851,30.2604511,167.50438,10768.50777,11.89767076,2024.293436,11184.1598,2839.903071,24614.17602,15187.75119,14862.16432,106198.0352,14147.23236,13484.49151,13209.88252,16286.65163,6759.389794,6461.372391,142256.0465,5771.972162,5069.92355,4789.884882
B-4,2673.479693,6284.328759,0,41.53095225,3101.289194,4563.066155,4985.723951,479.908694,0,17058.70392,17919.88038,13527.83728,0,0,12076.19443,0,8626.132662,9637.871028,5154.781849,0,0,3701.939497,0
F-1,0,875.1686676,0,39.60642814,523.5062694,77.29646497,0,309.9541794,18.89498311,0,0,0,0,0,24881.67,0,0,0,0,0,-8377.685129,18045.77205,-8377.685129
B-2,206.5671728,3152.897416,0,25.84802225,1261.711839,1502.310248,2127.216728,140.5781966,6.885890946,15502.01778,26877.00197,12624.7159,0,0,8163.528614,0,7124.332653,18390.82497,4247.030769,0,-8377.685129,-2607.811112,-8377.685129
C-5,6208.332582,14.37519217,4.850079097,66.84638951,2458.529446,485.794844,146.5394564,56.28150871,116.2264824,62422.18869,22546.276,52265.70724,0,0,0,109096.6264,55639.08448,14126.24128,43921.89985,-8377.685129,-8377.685129,-8377.685129,100718.9412
A-9,424.5748469,3586.804459,306.8682831,1102.376553,1462.481352,830.0542961,61.85392173,3163.638185,473.8292631,53750.07946,43930.71558,79580.47187,95087.89442,59830.25812,92467.31823,69193.3799,40259.88202,36658.39526,71488.28742,89682.46271,51463.03284,84193.14495,59998.00222
B-3,2952.353054,5314.082341,47.81155201,737.1048091,2494.221534,4585.273708,5344.284715,2562.412293,249.8284623,14864.34364,17087.29284,12247.11719,274856.2838,29161.15531,22234.49997,235016.1674,6511.797518,8705.890457,3896.100307,285856.4775,19250.04939,13721.63373,228202.0488
C-8,12289.15694,7844.182105,4.145084493,5550.475995,9742.016083,0,0,5158.23391,536.0391261,0,13730.3514,0,0,2595.614323,11678.78901,660.0146387,0,5285.975882,0,-8377.685129,-5782.070806,3291.951024,-7717.670491
I-8,454.4321035,4831.53191,1221.062636,522.1462387,5324.446347,672.5080678,2364.291858,4189.259358,5963.815782,20858.59824,20328.39803,25855.08099,28130.26615,14509.66931,18223.53342,11941.59942,12232.7909,11451.86416,17427.42539,18964.99975,6127.763599,9801.919381,3548.776641
D-9,15702.74175,3020.875782,0,9174.528981,22724.06428,14465.77264,18864.58902,18093.24104,1735.665806,13521.04799,13527.3478,11675.33397,0,20969.97579,6489.59636,9053.503458,5159.675138,5128.021207,3283.398756,0,12698.02359,-1881.59159,696.9954803
A-5,397.9830803,2071.747624,187.9271276,705.5817777,1205.947539,305.7311077,15.54775966,2206.949313,43.79932342,91598.78181,57953.8414,64266.31575,119778.5952,69491.51479,196774.7693,61310.98483,102077.1622,50211.08351,30948.43268,96673.93395,53351.691,185021.8186,63511.10288
G-10,3100.435607,3532.302844,0,1341.602311,3488.762806,207.702756,490.5369818,3164.729466,923.4375508,35129.01539,27425.89841,57215.44858,0,38753.75033,65160.32789,35336.18682,28074.16059,19066.48899,47566.90038,0,29950.18796,56310.7506,27676.9215
E-8,3185.177118,8883.135963,74.08499499,5331.484543,9068.069024,8.687437874,5670.996052,5435.506792,1608.504703,24834.14051,23642.92241,19874.88396,14992.87762,18782.45282,19630.00811,24245.8998,16436.91844,15246.88299,11491.72232,7205.737756,10470.70471,11176.18872,15746.45729
L-10,35220.70049,30394.40627,0,2323.523943,798.4027314,0,4.872686461,3559.385139,0,8131.052564,6857.183253,0,0,0,14222.09183,0,-510.3148738,-1521.101522,-8377.685129,0,0,5833.04042,0
C-6,12104.58945,5990.184378,12.10476178,6932.790843,8846.872471,3.970671258,0,6722.227436,400.0259126,0,11673.47748,0,0,668.1925878,13652.8197,1104.801147,0,3311.28263,0,0,-7858.439667,5232.379514,-7344.823765
J-5,2881.85515,60.39974053,0,7139.96036,4894.200486,4.710702155,13.50943334,8148.058244,136.0198144,89755.71503,60743.78591,45268.847,0,0,10200.17345,0,81378.0299,52568.67147,36896.45422,0,-8377.685129,2527.595689,-8377.685129
F-10,374.0064886,160.0343659,0,0,127.7089227,14.59985209,0,64.0334517,281.5981379,0,7782.934271,0,0,128677.3761,0,3158.51486,0,-594.7508584,0,0,92623.50557,-8377.685129,-5219.17027
L-2,882.2661854,19479.52688,1789.786537,5106.2875,10896.24657,12.51990107,34.50765379,15809.85866,11483.68079,14366.84252,11507.39932,8655.913262,8790.733946,11810.22524,11053.22222,11070.79252,5039.261593,3138.900808,539.1373288,495.4263942,3484.263941,2673.870105,2674.159632
